source,target,weight
660,10690,14
18075,506,1
124,164,1
697,2293,1
1268,403,2
11932,2639,1
862,6692,5
13,244,1
1267,20698,1
31,6195,1
660,10695,1
141,6890,5
1050,366,6
1442,16245,1
999,29424,1
232,197,2
58,969,1
862,332,10
252,1387,8
506,380,2
8024,16222,1
820,2330,5
2995,2424,3
1005,172,1
449,384,2
833,4652,15
13,252,1
2425,3345,5
2311,24332,2
420,9074,25
17,447,1
294,273,1
681,7971,1
2463,518,2
3060,6461,4
800,1415,3
114,3307,1
347,2967,1
2282,1096,3
8519,3345,1
130,653,1
982,5227,2
660,2705,1
3060,441,5
398,1387,4
749,1387,2
5,8322,1
1025,26201,1
379,3684,2
1041,3558,3
642,306,1
5544,5546,1
1075,1085,7
868,3216,3
410,3837,1
82,86,1
368,3368,3
543,2451,2
221,237,1
5268,3691,2
126,48913,1
2311,6380,1
609,398,1
157,3898,5
36,120,1
855,3426,1
1025,4159,3
12,366,1
317,10693,1
234,968,3
2503,1701,1
46,8970,3
714,290,1
595,26326,1
4750,3352,3
2282,422,1
610,4035,1
410,209,2
2288,3716,3
1082,940,1
800,3522,7
449,39869,2
16795,3277,3
46,22045,1
289,1132,3
282,2292,1
800,1429,19
114,3207,4
2921,458,1
347,3161,1
8024,979,1
130,6056,1
405,1162,1
537,430,1
458,4326,2
931,1148,6
265,39,1
11194,11083,12
1090,467,4
610,1268,1
3008,1220,3
720,3197,2
982,1436,1
7769,3345,1
128,35415,3
405,2454,6
46,4271,3
10483,2209,1
31,1042,3
290,2977,1
683,448,2
12,1104,4
79,42,1
1304,404,1
11127,2156,1
5,22294,1
1387,5514,1
2323,25230,1
1005,4554,1
416,1429,2
150,1108,5
3709,13225,1
294,458,1
170,7443,5
1322,5544,3
506,4153,1
2698,8835,2
2921,130,1
449,1511,14
1897,1322,2
362,936,1
16795,2687,17
1465,7378,3
2944,11282,4
1050,656,1
130,27568,6
410,12682,1
417,30200,3
1023,2293,1
12388,2944,3
157,3134,3
1010,337,1
1390,2239,1
15,254,1
1322,8541,8
762,46,1
720,1070,1
621,993,2
1025,9690,1
31,13,1
13,897,5
130,22057,4
1032,677,1
5546,6380,1
172,52,1
23,254,1
339,12302,7
1071,3688,5
12,931,2
148,677,4
13716,58943,1
475,1096,1
62,697,7
599,10668,3
543,2964,2
6195,4554,2
1390,430,1
720,1085,13
458,430,5
281,1045,2
621,1087,2
3057,312,1
10958,862,1
595,244,1
4102,1387,2
2288,2963,1
367,6321,1
800,9439,2
861,1025,1
1387,862,2
180,349,2
410,2462,1
265,86,1
398,22045,1
641,603,2
58,2861,3
157,2727,3
419,918,21
3725,16594,3
873,1032,3
447,8101,11
294,6418,1
144,485,3
1799,932,1
524,2832,13
714,11422,2
1010,1049,1
131,1023,1
46,1025,8
232,713,1
1073,2861,1
1049,606,2
1429,1385,1
398,380,27
995,290,2
10331,8024,4
294,61,5
1162,46,1
148,289,4
862,1386,7
941,2598,13
29,1078,1
16704,2374,1
60,2036,1
989,289,1
2282,17776,1
800,1385,6
337,399,1
377,5689,1
62,12861,2
3508,968,1
800,45347,1
1184,5026,8
814,7809,6
862,3037,10
458,3037,5
290,2969,2
2311,23,1
336,3327,5
11044,8835,1
621,142,2
995,58,2
148,2454,4
2282,475,6
316,2394,9
46,5514,2
41,35,2
820,14928,1
244,142,1
995,9902,1
2457,11085,5
1627,4718,1
2293,6630,2
3060,2079,1
543,6699,1
2282,25580,1
347,1421,1
18,38,2
141,11675,5
338,9007,11
2477,9007,2
918,11103,6
339,3592,40
40426,11122,2
410,26789,1
162,82,1
595,410,1
512,141,1
232,2439,1
5,1005,9
3508,35079,1
130,1386,1
355,399,2
1245,354,2
1091,3385,20
46,1005,2
862,8970,2
1095,1420,1
458,5227,1
1091,37772,6
6189,9007,2
1038,31,1
533,2,2
130,43571,1
377,24,1
3336,1436,1
157,3892,1
130,2457,1
2722,4331,1
234,133,2
235,1284,1
409,978,1
27,210,1
1103,1387,1
244,399,3
609,2425,1
327,12464,1
35119,2639,1
5358,16486,1
18894,11083,1
1123,1191,1
332,2311,1
449,2323,2
1050,5648,1
6600,3057,1
1390,12,4
999,11856,7
1037,82,1
762,349,5
252,667,1
36,20,3
13353,5358,1
1180,2477,1
1038,19,5
415,595,3
86,537,1
8652,800,1
6939,1301,1
252,1429,11
2381,825,1
1104,4558,3
327,1103,1
142,714,1
383,403,6
1162,10868,1
199,12,1
713,21957,1
2783,3551,1
941,403,1
7769,2425,4
6418,9083,1
540,12861,1
16,4795,1
814,5689,1
10969,1301,1
868,45369,1
7,29,1
12,408,7
52,4795,1
128,2671,1
714,5358,1
1075,2424,10
10330,157,1
422,40,1
13726,1897,1
14,1378,5
2503,7056,1
543,1035,1
130,5543,3
157,2079,1
985,3008,6
683,7185,3
941,13726,3
762,124,5
660,931,1
16,35,2
2410,3690,2
1897,941,1
130,5587,2
6249,10674,4
8963,23611,2
316,2890,1
336,3329,1
289,2577,9
383,1531,2
16795,410,4
1003,1098,2
317,1184,1
605,897,1
3508,132,2
683,2323,1
82,52,3
265,5546,1
11107,897,1
15,39,3
23826,108,1
1082,29228,11
1005,814,1
312,2503,1
2381,11688,4
289,1003,4
409,110,1
350,1218,3
162,683,4
2687,5649,1
39,94,1
141,12378,1
1429,4159,3
5,3057,2
984,1039,2
820,8707,2
5,2250,4
8835,10870,1
1085,1035,1
1010,1098,1
180,337,1
475,540,1
355,1088,7
941,1385,1
5,4114,2
985,990,4
355,352,2
130,4113,1
126,152,3
447,2776,2
1032,3537,2
2990,2423,5
11,337,6
46,1047,3
660,2783,3
1506,25230,1
5,1388,4
1075,979,5
10330,2425,2
2311,13716,13
150,1075,3
1164,2257,1
826,1176,1
1049,618,1
42,353,1
276,1025,3
989,2413,1
820,2944,6
3898,1749,1
252,800,5
12,1010,1
130,24898,7
383,192,5
862,4083,2
1005,1387,2
430,2457,1
2700,2439,2
3216,152,1
533,79,1
39,35,2
79,41,3
800,1025,6
1436,7179,1
157,3508,4
5225,892,2
20,12452,1
979,8827,3
234,798,30
2,19,1
12,9690,1
1268,1455,18
687,897,1
130,1429,6
294,7169,1
135,62,1
543,49734,4
170,17444,8
12861,2598,1
2921,19164,4
1075,1017,1
660,6993,26
44,129,3
1038,4718,3
932,16704,4
9265,1435,1
449,12381,68
39,3899,1
3725,868,1
306,384,2
252,10390,2
8963,10690,23
1091,3060,5
1387,4553,2
16,25,1
13,931,1
601,520,2
41,209,1
3327,12988,2
452,86,1
2477,19806,1
200,723,2
762,1519,1
447,223,11
3060,28956,1
1531,1084,1
862,1506,1
2282,2321,1
377,19083,7
6195,839,2
33,164,1
172,3159,1
252,2919,2
114,2832,3
354,3508,1
800,1408,5
11,895,1
512,2455,5
12,22045,3
41,48,3
5268,6412,1
294,1081,1
409,26,2
458,208,1
141,126,8
419,25029,12
5546,1897,3
543,350,5
2441,6678,7
940,6767,1
294,2424,6
653,41229,1
1010,3684,1
543,899,3
155,8346,1
418,3368,2
1038,3368,1
148,989,2
941,5546,10
1003,698,2
1038,4330,2
114,2293,3
475,9681,3
1091,45683,3
11194,12109,25
410,607,4
29,23826,1
862,5621,5
458,1210,2
130,2722,3
458,704,1
630,472,2
126,20760,1
3691,12049,1
683,2672,10
294,367,2
1032,1218,1
964,16704,2
1029,180,1
1108,750,5
1306,416,1
531,8024,1
41,472,1
12,4093,2
1091,35415,15
708,234,1
2598,797,3
12,416,7
985,1071,4
862,1390,4
2700,12438,2
399,703,2
506,4159,10
161,1041,1
10958,204,1
31,1025,1
931,3892,1
3714,3609,2
410,4102,7
1095,2257,1
237,1075,2
121,3691,6
862,4172,5
2293,152,4
126,25253,2
566,3083,1
964,2698,5
6541,5546,2
281,46,1
409,623,2
48967,130,1
398,4171,2
197,1321,6
252,43,1
3060,5573,1
1433,601,2
1244,7077,3
130,4146,2
8963,6993,37
232,3729,2
1627,301,1
234,403,5
720,4688,1
419,5107,2
114,10484,1
347,619,3
399,1034,1
197,6163,6
499,669,1
1025,2655,1
814,5544,2
410,2790,1
46,4550,2
714,630,2
46,862,9
3277,1531,1
2282,605,2
449,20681,1
416,8970,2
2439,2410,1
720,1214,1
2995,7179,4
7179,7811,1
419,1242,5
2150,12,1
985,1096,19
1158,720,1
189,2867,1
12,839,8
130,19164,9
543,1072,1
873,1045,1
16245,2227,2
1301,6600,1
503,4448,1
720,3057,3
2439,2374,2
931,349,3
868,3840,1
1091,21600,2
3325,41746,3
1005,1411,1
281,641,3
420,223,1
683,5220,9
368,3709,3
419,11194,58
144,12469,1
192,383,2
430,4254,1
368,134,2
29,1112,1
458,4031,1
162,1158,2
982,5753,10
1075,6418,2
720,10140,8
982,3336,1
130,13562,13
653,33439,2
2944,3205,1
800,6110,1
6890,2457,1
410,237,2
6195,4102,10
62,892,11
2783,10468,12
524,5743,2
358,991,3
12,1038,6
405,2814,1
1003,349,3
15,41,2
281,2964,4
1322,2598,2
383,500,3
5,4111,4
660,6992,8
5225,918,2
289,3008,7
172,3772,8
141,1267,6
533,24,2
7975,18850,2
631,1020,4
141,2944,5
2655,252,2
3336,10005,2
331,1532,1
377,13716,4
6195,1387,4
2672,3386,1
1465,16670,1
20,152,3
355,2805,2
7975,19077,1
683,3060,8
449,289,2
355,1220,1
6692,252,1
1085,3268,9
317,1268,3
599,12464,1
1082,738,2
467,1228,8
820,12380,1
720,417,3
506,5585,1
1025,2403,1
25243,2990,4
4053,681,1
1162,2972,1
144,3522,9
294,2457,7
1408,1103,1
506,33,1
1465,10140,1
383,317,4
13,237,4
24575,485,1
130,749,5
1082,17707,1
197,5546,10
4128,11121,1
2282,28956,1
2740,29109,4
1025,27525,2
10484,2944,1
660,86,1
306,798,3
1420,10868,3
294,24,1
354,3600,1
683,669,3
2566,11956,2
276,4040,1
750,862,1
237,16795,1
40,714,1
5546,8541,8
141,1506,4
31,399,2
472,6574,1
148,1072,4
2921,276,1
458,4558,2
197,1443,2
699,1071,1
327,8892,6
1084,265,1
715,18957,1
62,8684,4
2783,11411,5
336,255,1
1268,1426,3
126,1506,3
281,1110,1
985,687,2
4,113,3
610,235,2
398,10686,1
524,126,2
506,1429,9
543,1074,1
62,13726,3
2457,602,1
29228,924,2
1897,1562,1
62,5544,1
800,38290,3
398,999,1
820,10483,79
2381,48913,1
430,749,7
20,15156,1
398,10670,1
1095,10868,1
2282,3898,2
170,4529,1
1005,1175,1
13,7074,1
1158,3911,2
1038,327,1
355,4295,1
940,2696,1
58,80,1
31,1045,3
610,403,9
141,2463,1
830,244,1
405,2262,1
2441,3392,5
941,1897,3
337,3064,5
189,413,1
2477,4773,1
447,8578,21
6195,22403,2
1386,1038,2
12,2921,10
614,630,1
506,839,11
660,2477,5
1,10,1
366,134,1
941,11117,9
533,80,5
2698,3733,7
506,4084,2
583,1411,1
339,9007,12
114,2323,1
13726,377,1
336,499,2
46,2817,1
338,3592,5
336,1506,1
3391,3706,1
447,420,1
130,4333,6
13,1050,4
1267,8707,1
2424,16083,1
5,1269,1
800,2462,1
610,132,8
447,4424,4
520,10512,1
252,1105,2
338,2782,1
331,260,1
931,988,1
2655,839,1
984,899,3
1020,2805,2
3345,8493,2
39,60,3
197,715,11
265,7918,1
58,543,1
121,234,1
200,724,2
826,3161,1
862,2722,4
2227,6996,4
1627,862,2
897,134,4
940,331,2
982,26586,1
16247,8563,1
130,22045,9
447,485,7
800,458,2
29,399,2
762,2454,1
749,130,2
631,512,3
430,252,4
2125,273,1
524,152,2
276,2253,2
42,533,1
29,3911,1
720,368,1
130,5862,34
2921,19,1
148,931,3
1108,114,1
458,4102,3
377,135,2
1387,9007,1
358,1237,2
416,51663,1
631,506,2
2995,3323,3
430,4031,4
33,237,1
1075,429,3
6890,2444,1
5956,8835,1
234,235,7
12795,814,1
3508,2861,1
1162,2968,1
30857,172,2
162,244,3
1184,204,2
31,1533,1
589,11095,3
84,65,1
1429,11337,2
449,12376,1
2503,3336,5
7378,4297,3
2861,1435,1
506,2921,11
800,4330,4
89,132,1
5287,4128,1
2990,6156,8
1234,6992,1
204,1910,4
31,990,2
449,524,4
1091,24773,7
46,5,3
413,4319,1
762,3456,7
2944,868,21
180,1237,1
410,17194,2
862,4271,6
499,1389,4
430,422,1
642,11055,1
3057,1411,2
932,338,1
1386,2655,2
641,2454,2
327,456,7
141,845,1
355,1042,3
585,873,1
826,1147,3
2441,5571,1
720,192,2
12302,18301,1
610,467,3
2639,336,1
10663,720,1
379,1020,3
398,4326,2
1085,8827,3
447,2566,9
20,11158,10
720,2867,3
814,13726,1
40,1023,1
86,105,3
667,172,1
2441,653,2
2425,2459,2
11,543,3
13607,5544,1
506,252,7
1184,408,1
5546,7087,2
276,4558,1
306,723,3
430,23826,1
964,683,1
12,32013,1
762,465,5
410,506,4
150,1387,1
16704,3714,3
903,2977,1
36,3207,1
9007,12302,2
3714,12054,2
524,20,1
130,1388,2
29228,3325,1
4814,10140,4
150,5648,2
1049,1531,5
281,1049,3
1038,5543,1
2698,3691,5
985,1042,3
379,986,3
10789,6418,1
2783,566,5
347,204,1
447,14766,28
2444,25,1
410,19,3
1301,3336,2
641,1089,5
1010,16795,3
410,1385,9
940,1049,3
1627,1047,1
2410,450,1
416,18950,1
660,2696,1
610,499,4
150,2867,1
62,2598,8
601,2977,2
232,1423,1
1038,408,2
