source,target,weight
127,4795,2
475,1433,1
58,683,4
797,12005,1
6227,14,1
2457,36590,1
660,679,3
10670,416,1
2814,405,1
42,897,5
410,1386,8
3654,306,2
398,5,6
3161,417,3
169,2441,17
294,237,1
800,749,5
10686,1627,2
1897,162,1
1557,385,1
331,171,2
5287,2439,5
317,370,2
11194,2259,3
42,48,3
2239,1390,1
621,472,3
1467,152,2
1085,585,1
2598,377,12
2995,3345,3
6600,762,1
826,29,2
2423,336,2
10670,862,1
5544,6380,1
20631,377,2
252,67015,1
4001,265,7
447,5220,3
6087,6678,1
2921,1038,11
9439,398,1
9715,475,2
683,3706,5
2727,58,4
420,918,3
501,39722,1
800,4103,7
2566,25,1
2262,29,2
660,338,1
1417,1184,19
642,234,5
15,26,1
58,113,1
503,14,11
1237,350,3
1322,62,15
2425,45278,1
16704,2737,1
1027,762,4
58,1184,1
3385,2672,1
355,762,4
5,9007,3
9007,2227,10
601,354,3
6418,3386,1
420,20698,4
24575,5228,1
3239,142,1
9251,2861,1
845,35515,1
2441,37276,3
698,148,3
6799,468,1
3709,1049,10
1408,276,2
850,2457,1
3725,11126,1
116,6996,1
9007,17959,2
862,5,7
5179,839,1
12694,447,2
978,1411,1
3197,244,3
164,989,2
982,7769,1
479,2782,1
62,814,11
252,1210,5
317,281,3
2439,6672,4
618,10773,1
405,641,9
2832,524,34
10690,8963,23
631,12,3
6767,237,2
11961,1387,1
6676,3176,1
8817,235,10
610,940,3
1390,1388,2
800,430,8
276,410,7
192,383,9
58,18,2
26459,10690,1
6996,3592,3
468,385,2
537,410,5
2457,6347,1
37975,11282,1
4772,11083,1
800,41101,1
499,709,1
681,1533,17
1083,932,15
62,1119,1
410,6195,16
1164,1245,1
1429,130,17
976,982,6
415,11855,1
3551,7695,3
2292,6894,8
504,16,1
4128,2698,7
1390,54652,1
4111,130,9
1038,19,10
9233,2776,1
1436,8616,1
3696,1020,2
409,6227,10
1123,281,4
23611,5223,1
765,314,1
289,10391,1
583,903,1
2441,472,3
1465,1267,1
46157,1038,1
2598,24389,1
8970,14848,1
5378,683,1
1047,2921,1
820,141,2
5573,553,1
82,52,5
2250,749,6
512,22,6
1627,19,3
367,2703,1
383,1123,1
4482,23634,1
441,235,1
1095,162,8
2672,2441,4
120,935,1
1210,410,6
16594,1083,2
65,109,1
42,39,3
1158,3166,1
3733,3725,1
2180,2331,1
410,1010,34
5623,845,1
3205,1264,4
3508,3057,3
3508,2861,8
2919,46,6
820,20,6
2944,7160,2
1060,543,2
5107,999,8
148,762,3
499,172,1
5219,6676,5
1044,128,1
441,4603,2
466,985,8
9353,130,3
2477,660,11
968,6593,1
4507,553,1
1083,1321,1
6045,419,1
347,271,1
79,583,1
7042,601,2
918,498,1
23826,44,1
1104,21027,1
16247,6993,2
5545,5546,2
980,169,6
2311,790,2
855,2580,2
2995,10330,4
121,2737,9
169,2671,6
52785,715,1
1039,6043,1
62,5545,5
985,1096,21
142,1531,3
413,266,12
862,6574,5
1290,3161,2
289,281,7
447,2776,4
19771,20,2
2439,121,6
566,6045,1
6574,5587,2
6574,38561,4
3915,2420,1
3691,11126,3
982,455,2
234,306,6
11127,10688,2
839,22257,1
11127,1186,1
5546,5225,9
524,449,11
377,941,11
7462,354,1
833,2293,8
6,740,3
2425,294,11
2639,979,3
2805,148,2
941,239,1
11083,4772,1
2969,762,1
52,2,3
27,244,1
11126,121,4
2503,1075,6
128,978,1
648,621,3
1268,148,1
2231,2444,2
12438,16704,1
4111,458,1
856,8573,3
1049,31,4
2282,6348,1
8963,6993,50
6603,25,2
405,990,7
1242,653,1
21903,2227,3
41,506,2
2180,5093,1
2672,2068,1
4529,13726,3
11411,2783,12
1049,294,4
868,14187,1
3706,21725,1
40181,449,5
1532,681,1
3729,964,2
223,327,6
524,2944,3
350,1034,1
10139,2362,46
1467,1264,3
18,27,3
8699,169,1
405,22,7
20707,126,1
540,169,1
210,265,2
1072,985,6
641,180,5
4057,10898,1
3729,12054,1
15656,2457,1
6112,197,2
327,7567,1
1533,12405,6
2700,232,9
405,3463,1
964,2696,2
405,1181,7
12817,11083,7
2311,12823,2
1085,2503,8
800,1103,8
653,16981,1
10690,2700,4
10140,1436,2
3205,6894,18
337,10532,1
2672,5219,6
2311,892,2
114,250,1
2448,1533,2
317,294,1
15374,506,1
11008,749,1
289,903,3
368,294,3
2639,3348,4
1180,338,6
41,27,4
1322,1837,1
1114,16795,1
1304,1435,8
585,36,3
15,6297,1
192,114,1
6380,8684,1
3811,4128,1
150,5358,1
11401,314,6
498,2425,1
5545,1322,4
26789,6574,2
2968,995,1
1039,3057,1
312,2783,1
403,30,1
18945,5219,3
1071,931,3
31,2288,1
16,631,2
12672,6195,1
855,30612,1
2292,1268,1
13716,697,3
13726,14596,1
101,24,1
420,419,5
2293,114,3
12,6574,12
537,430,2
235,642,5
1063,845,1
833,935,1
2977,2180,2
8685,697,3
720,982,5
2990,18,1
2944,36,3
2919,1387,3
197,419,1
1429,252,17
2424,25243,4
798,28643,1
468,1090,11
82,44,3
10639,3691,1
3302,472,4
157,3508,18
9631,409,1
2700,10482,2
6993,8963,35
1496,941,1
4424,144,5
415,3166,2
2282,3508,9
2431,786,1
845,2293,6
141,2292,5
2737,316,1
144,2362,7
235,403,7
3508,1082,5
58,172,13
47962,982,1
41,24,6
1004,266,1
660,585,2
419,3709,1
3592,8563,2
314,327,11
12,720,2
1269,2671,1
172,3060,1
354,58,5
6418,169,3
4083,430,6
167,38,6
2742,2703,1
3840,2750,2
4603,21597,1
18300,18105,8
1091,169,8
409,316,3
4,615,1
2407,430,2
2448,1108,3
152,449,6
20,845,6
25029,447,2
273,1114,1
418,3709,13
862,2047,1
964,1083,16
626,931,1
130,6195,14
1184,58,6
314,918,5
11127,22219,1
4750,54467,1
155,122,1
7971,499,1
825,6894,4
128,1837,2
1082,1049,3
941,2598,24
40058,281,3
2655,1210,1
172,6079,2
1321,11116,7
3508,403,1
204,568,1
358,3057,5
22,281,3
25,128,1
349,289,1
12378,820,2
8576,503,1
1027,641,4
142,3709,6
12001,447,1
3898,204,2
1244,368,1
786,979,2
749,458,8
169,7475,2
3336,7788,5
294,979,3
410,839,11
336,4,2
585,1049,3
1199,172,5
520,1162,1
986,399,1
383,202,4
31625,1245,4
430,18075,1
11194,314,2
2990,2784,3
798,11075,1
12321,366,2
9,6676,5
2671,1091,9
1992,1465,6
968,3057,1
169,1091,6
765,447,1
1020,355,4
294,2424,10
19058,941,6
8024,3327,3
1078,1123,2
1010,410,26
39,38,1
383,79,2
354,3198,1
524,2381,3
1463,385,1
1387,506,21
2457,1301,6
5,22294,2
605,169,6
750,244,5
265,683,3
77,653,1
14953,306,1
1268,1090,3
1268,3958,1
10314,9074,2
12,1038,10
475,9010,3
2425,11107,2
30,206,1
999,2566,4
4064,2737,1
398,410,9
339,589,1
985,399,3
410,24361,2
845,524,6
12420,3691,1
984,1090,1
762,1039,7
17026,314,2
289,703,4
503,7002,1
2394,4467,2
6984,29228,1
2867,3368,5
2457,3535,1
4441,413,2
18945,2672,2
984,985,3
2293,1506,4
355,352,4
8718,2381,1
868,3654,1
1063,419,1
449,2867,2
7008,10690,1
4644,2293,1
5545,377,3
3691,121,7
472,2156,1
6894,114,2
2,60,5
20658,10314,1
12054,2696,1
2944,119,1
2687,6676,1
3706,1091,2
2293,2330,4
234,798,40
599,10314,4
12302,6996,4
5107,314,1
350,985,4
5111,11083,2
10625,192,1
1003,631,4
5225,7392,2
20519,1390,1
630,527,1
856,7445,5
2288,985,2
7056,336,1
936,3473,3
1003,22646,1
399,1032,1
1085,2434,1
8024,2995,3
524,294,1
897,2402,1
602,121,1
2323,2944,1
82,22,1
2292,2944,2
62,5546,14
1020,1158,1
405,1061,1
3595,350,1
1162,290,5
26,180,1
10431,566,1
9480,6894,1
641,1220,4
6483,5544,2
533,6499,1
2423,18952,1
605,3706,4
503,7443,3
8524,172,4
1785,1436,4
2067,162,2
599,433,2
6195,5587,3
10330,2420,6
23611,6992,3
1082,873,1
10468,4482,2
2282,2737,1
21903,6993,2
2995,7179,7
2672,21941,1
2293,589,5
232,6195,1
2969,1162,2
62,6365,1
2581,252,6
583,1164,3
1011,475,1
2439,3691,4
2968,244,8
18303,24288,2
62,170,2
16214,750,1
28025,294,1
2703,13649,1
252,458,9
419,485,9
10503,2990,1
327,10138,2
336,979,4
3368,17250,3
6992,4482,8
965,3325,1
385,200,4
750,940,1
6993,9007,5
3609,11127,2
5287,1083,4
130,27527,1
458,1038,13
7074,2598,1
2977,8429,1
1124,2410,1
398,681,1
1091,3060,8
995,618,4
121,3336,3
10688,1083,3
354,9804,9
200,1435,5
5546,892,7
618,1290,6
380,1385,2
1023,40,1
384,202,2
10480,8835,1
16795,294,6
15952,4750,3
128,265,2
3263,2639,1
2672,26854,3
330,2425,1
19,1038,10
12452,10484,1
1390,4541,5
3187,5544,1
290,750,3
14171,5773,1
1436,3325,4
1245,3898,2
3508,33727,1
6491,697,2
8424,2425,3
553,265,2
128,2729,1
2362,144,6
10442,8835,1
16795,2441,1
19,1103,4
3008,1421,1
820,10484,8
2671,6676,2
1085,2423,8
697,1321,6
833,44139,1
419,314,7
8970,458,1
1085,10787,3
1423,79,1
6621,697,1
714,6182,1
3,66,2
7975,715,7
31,512,8
3,80,1
281,3229,1
518,6,1
70135,6996,1
1506,19771,6
2423,1436,5
527,2293,1
25029,11194,27
6692,12,5
301,58,3
856,14,1
873,29,4
1084,631,2
355,370,1
1219,1132,1
120,524,5
293,167,1
82,269,2
589,2323,7
6418,8847,1
41197,1091,2
2696,940,1
6189,1083,1
3840,6890,2
845,2463,3
892,5544,6
368,237,6
3243,2439,2
1284,202,10
541,4441,4
798,642,3
8524,128,1
3999,2441,2
417,40,5
379,972,4
20,14928,3
7185,128,7
15300,2698,1
16242,6414,6
1531,472,1
10670,130,2
2921,1390,3
6992,9007,6
1465,7056,2
7055,2672,1
1158,855,4
618,1154,1
5220,6643,1
1050,1531,7
144,999,16
3714,40426,1
1390,124,1
1390,1429,4
3687,1083,2
6600,8835,1
418,897,2
1268,6494,3
19,430,3
197,3,1
2778,306,1
2330,126,5
704,130,5
1047,6195,2
495,66,1
7042,1420,1
2598,797,10
126,2463,1
289,1041,1
260,3368,1
3610,377,1
46703,28095,1
1411,1096,3
152,924,1
25817,2457,2
11148,447,16
15156,845,1
150,4032,1
969,232,1
16704,969,1
1084,331,2
1434,132,1
336,11282,1
5107,845,1
5174,6195,1
79,336,2
2700,22220,1
979,336,4
148,3057,2
1321,2311,4
62,1322,15
11083,11278,1
738,855,1
1053,405,2
294,124,1
2861,1111,2
413,409,8
130,336,2
4294,14977,1
1184,18,2
714,46,4
820,589,16
265,144,2
152,36,4
1268,724,3
6483,697,4
20908,5107,2
1562,7975,2
289,920,1
3987,4603,1
1390,1025,7
11,131,9
895,289,1
2698,16704,4
2703,932,3
6432,660,1
1385,506,8
312,3725,3
5226,5287,1
22203,130,1
339,1043,1
383,6195,1
7750,1506,1
1039,379,3
4713,3,1
506,2722,7
619,1290,1
332,800,7
610,16,2
4097,4083,4
2995,1114,1
4086,1386,2
404,566,1
601,12824,2
265,3396,4
122,856,1
61,19,1
466,1123,1
21941,683,1
7074,2439,1
814,1401,2
6377,814,34
589,2293,9
255,4128,2
232,2700,10
1150,148,10
566,2180,1
2079,3709,1
931,631,6
1455,1304,2
3592,6422,2
1234,3709,2
1244,294,1
40,987,1
18642,430,3
625,714,2
126,1081,1
3898,157,7
306,35,1
36745,749,6
862,46,15
46,1386,7
294,2457,9
1085,7378,8
21957,52566,1
2984,33569,1
1082,36,3
2441,9,4
2861,157,4
9816,800,6
566,3230,3
2441,10534,1
1184,16704,1
12,4554,3
130,15374,1
6456,2374,1
1444,5268,2
5225,12208,1
3060,1119,1
10409,265,9
982,6418,1
524,22815,1
5358,119,1
9010,28643,1
603,2578,1
266,10044,1
826,1158,4
2944,449,8
2974,172,2
2698,76,1
317,2778,2
1089,641,5
2441,281,1
2253,1387,3
6600,720,3
3336,12363,1
33,30,1
13299,892,3
982,1387,1
2999,3999,1
1147,169,1
31,418,5
45545,833,2
234,1090,5
430,839,8
2963,1132,1
11688,2381,2
354,4590,1
1164,447,1
724,1268,4
152,330,1
1049,199,1
1386,2778,2
1244,5358,4
499,631,19
276,862,7
1290,1041,1
1443,2293,1
142,897,5
383,533,1
3349,15136,1
162,417,9
122,409,8
232,288,1
1032,349,1
1037,1038,1
10492,982,4
8024,7179,4
235,6225,1
1096,58,2
1091,4603,3
339,9007,24
129,44,2
1627,839,7
845,740,2
1186,6411,1
281,1284,1
23611,26459,3
4641,36,1
1123,148,5
41,11,1
982,8024,1
366,2867,2
2282,2727,5
1161,1096,1
9415,128,3
266,3551,4
13,7971,5
273,990,2
10949,2477,1
6418,683,1
1321,13333,1
124,1423,3
1071,1237,4
5545,18857,2
422,11282,1
3216,141,1
2921,130,9
209,19789,1
868,2463,7
999,628,1
2063,1108,1
5227,2420,2
13903,697,2
1035,289,5
630,614,1
11194,419,86
197,814,12
1385,4569,1
1041,1162,3
5621,862,6
1005,1210,4
114,197,1
1063,316,1
1088,3008,1
2293,6890,5
9265,383,1
27525,862,4
9641,11194,20
1158,595,3
845,6890,4
1103,252,2
2330,2944,5
720,1386,1
1165,244,2
969,3725,1
383,9855,1
4602,3984,1
266,122,4
238,1038,2
1147,1397,5
533,502,1
1038,498,1
2639,3336,3
924,449,1
3558,595,2
936,935,2
10330,6418,4
1467,2944,4
12109,11194,34
2867,606,1
141,589,11
6894,126,7
4093,12,2
31,36,3
12302,3592,10
172,6676,1
281,2455,1
683,1804,1
11300,1095,1
6380,36493,2
1095,855,3
221,418,1
8718,2423,1
999,433,4
468,1071,1
52,533,1
141,2381,3
208,1390,1
171,714,1
124,873,1
265,762,1
128,999,1
4585,3999,1
170,6195,2
417,8816,1
3691,5219,1
589,820,6
2722,862,5
2696,16704,5
1085,1075,11
15064,294,1
6418,7682,1
430,458,9
1420,667,2
6890,3207,7
447,17671,1
2431,5227,2
4171,589,1
1073,1245,1
2425,2990,2
2703,2410,9
2778,42,1
1041,595,3
28848,144,1
419,11194,90
1096,312,2
82,42,5
4814,25176,1
4628,20,19
3037,506,5
2311,5545,4
3057,14,1
306,1032,1
4004,553,1
2984,5220,2
797,197,4
2288,1050,1
14766,999,1
3392,605,2
36,524,8
16247,9007,1
1435,18026,2
39797,6890,1
4097,506,1
2598,715,6
1039,1301,1
1219,164,1
6407,5268,1
7609,289,1
11127,713,1
39798,833,1
452,533,1
176,589,2
416,46,8
2503,868,1
2420,720,19
3524,1159,3
634,873,1
403,9252,1
856,12212,1
740,449,3
8835,6082,4
350,6071,1
1531,1084,6
19,119,1
131,281,3
16239,10690,1
16795,20236,1
1408,2921,3
332,1038,8
3706,1837,2
6195,631,2
1091,5220,6
265,6676,2
124,2448,1
79,15,3
130,6574,10
2381,2944,1
599,144,5
1181,31,5
366,897,1
2352,141,1
3679,2441,1
17257,1038,1
20120,2444,1
2703,12438,3
3266,1436,1
62,4531,3
1119,4040,1
9690,862,4
3327,720,7
1304,19553,1
3719,448,1
18,192,4
350,1032,2
2311,23,2
157,583,1
6994,6992,10
713,16245,1
698,641,2
800,506,11
479,941,3
347,1147,3
5107,25029,3
408,12,8
23,2282,2
868,12706,1
36,3205,7
152,1264,2
1025,276,15
1322,941,8
1414,1436,1
336,982,3
1005,408,3
1119,3062,5
6994,2477,4
4482,339,12
29,631,3
667,26871,1
2990,2457,5
157,2727,7
855,1082,1
338,339,24
1091,506,3
1162,1158,4
2639,2425,2
1387,607,1
449,12381,73
3176,6087,1
3225,475,3
114,14933,2
1426,44796,1
862,675,1
1132,355,7
91,16,2
1071,9829,1
2990,3266,4
142,720,1
44,984,1
1123,1237,1
1210,46,12
2424,7478,4
405,19789,1
518,449,4
172,58,9
192,235,4
607,1038,1
130,4083,24
202,468,3
683,605,14
856,9128,2
6631,7378,2
2737,932,4
786,47,2
5219,4603,5
170,2364,6
6894,1264,5
417,1423,2
1210,862,6
1435,467,2
2375,152,6
2580,290,1
11038,999,6
16439,6676,1
2457,2420,6
31,58,2
41798,39722,1
429,6676,2
12,4111,1
42,293,1
1159,1175,2
14,935,8
2331,46,7
13414,931,1
130,5,14
485,11103,2
1159,762,1
336,976,1
7087,1897,2
506,82,2
13562,130,15
820,114,12
2783,566,7
3325,2503,5
232,2068,1
1390,1387,2
982,5215,1
5745,3205,2
273,61,2
7788,2457,3
327,7569,1
1186,1083,3
2705,3609,2
1390,8024,2
23611,39097,2
350,1423,1
2698,1083,14
1084,244,3
8780,379,1
630,1091,1
22203,1429,2
11,281,6
681,4032,2
820,86,1
266,41,1
141,209,1
6267,3060,2
3057,358,10
41,15,9
2700,964,6
410,336,2
11282,294,2
982,642,1
8024,6910,1
2923,366,1
142,618,1
8494,331,1
1507,524,1
2374,964,3
14645,1073,1
6,114,4
1083,12100,1
11854,449,1
10,63,1
964,1124,1
3592,6414,9
265,3060,3
4031,839,1
336,4750,8
3205,1506,6
2696,3725,4
172,18764,1
128,4759,1
819,1096,1
38047,4603,2
2381,1181,1
148,1060,7
430,1429,6
195,162,1
46,1103,9
265,1108,1
1085,12421,1
5107,11083,7
6676,4603,5
788,441,1
172,41274,1
504,130,1
5572,29962,1
800,2921,7
9465,62,1
800,416,7
195,132,1
1032,405,1
1005,4093,1
195,42,1
4585,3062,2
776,447,1
19,862,12
1304,39,1
2921,4554,1
30,52,3
48,33,1
12561,715,1
2977,58,2
498,511,1
377,15906,1
964,5268,3
5225,377,1
16795,720,3
204,11057,1
21957,37276,6
1268,1389,4
10002,856,2
506,447,1
379,931,5
12321,621,2
1386,416,7
331,416,1
820,584,1
1897,697,6
234,45275,2
1041,415,6
1508,1467,1
27475,982,1
524,1264,4
130,4031,4
18487,1465,1
1083,121,7
126,19771,2
456,327,9
595,417,5
29228,28643,3
2337,419,1
667,11300,2
10391,1032,1
252,416,11
4482,6414,8
3828,2381,1
232,2698,3
19561,2457,1
873,18015,1
2566,8101,3
1390,749,6
20519,839,1
2573,2737,2
21283,204,1
12,2331,5
3508,162,2
1195,984,1
1408,430,1
868,7775,3
5219,24773,1
468,1434,2
2861,28643,6
605,3392,7
379,2455,1
826,1397,1
418,244,3
58,306,5
46,1049,5
13716,2311,10
631,1003,4
12163,4441,1
1465,1627,1
3709,679,1
86,4,6
131,29,5
62,135,9
22,1071,2
2698,932,6
269,82,1
383,317,8
1042,337,1
12321,281,8
1301,720,11
1242,3551,1
631,31,3
1385,1038,13
2282,157,3
26722,130,18
804,5544,5
566,475,3
4602,27527,1
8424,2424,1
5227,2457,6
8835,12438,2
11282,833,4
1090,643,3
826,1424,1
72,66,3
45483,126,1
2282,418,1
22200,130,1
833,825,6
200,4,1
1005,6600,1
4057,3729,2
142,6195,1
2381,924,4
21957,12414,1
2964,985,2
11116,1321,6
210,20,1
3566,41,1
6356,1083,4
985,7769,1
4102,2655,1
2566,144,9
197,1005,1
2441,6418,4
3057,1184,7
16239,53646,1
697,450,2
814,19799,1
1104,839,1
60,720,1
1041,10868,2
11856,999,10
982,1075,6
42,162,1
3302,289,1
13,1049,9
10690,2712,1
150,130,2
1091,993,1
11103,918,7
58,1389,2
2253,1104,2
4172,862,10
1164,2639,1
697,10484,2
204,566,9
419,8590,2
826,417,6
1411,3751,5
2079,3391,4
1075,679,2
599,168,1
281,1032,3
167,257,2
1176,1075,1
266,409,6
