source,target,Weight
4718,12,0
533,42,0.57
21507,2703,0
22,1082,0.0399
42,897,0
738,273,1.197
172,27221,0
197,8970,0
2374,8835,0
294,452,0.684
132,11107,0
3187,924,0
1150,762,0
367,148,0
1053,995,0.0684
6939,984,0
1210,5,0.57
2655,1119,0
479,7133,0
1436,294,0.0285
4085,862,0
1038,6195,3.135057
3064,2288,0
449,1264,0
31,116,0
86,4,0.0342
62,2374,0.0513
6894,12717,0
46,399,2.052
2350,114,0.274
1047,1387,0
170,266,0.0057
703,985,0
121,524,0
740,3205,0
275,5225,0
2079,1230,0
4057,23611,0
472,2381,0
418,379,0
1210,1307,0
327,797,0
28643,2861,0.285
14,676,0
10,41,0.1425
3391,6418,0
135,697,0.0114
12109,11194,0
7378,2990,0
1390,2722,0.342
142,3709,0
1283,133,0
4424,144,0
31,15,0
1108,1010,0
17136,814,0
947,410,0
2783,2740,0
22010,11126,0
1426,1269,0.114
1147,162,0.114
999,9515,0
7478,868,0
1049,1050,0.593
4795,2566,0
418,985,8.55
2439,2784,0
301,2662,0
2783,9710,0
9007,354,0
235,467,0
337,22,0.0257
2727,520,0
1444,5268,0.57
8685,135,0
3551,2394,0
11411,2783,0.057
4603,653,0
265,2441,0.0228
1242,419,0.0912
1154,1420,0
2639,543,0.257
610,368,0.787
235,1090,0.713
2311,697,0
1387,458,0.662
2700,10694,0
2410,2703,0
1227,467,0
383,985,7.957
533,60,0.627
2330,833,0
1910,1096,0
1307,276,0
8671,10483,0.0342
2737,9875,0.0456
266,8970,0.0456
72,16,0.456
11083,2425,0
8024,3325,0
2503,336,0.2168
1321,53167,0
2047,130,0.0513
1386,506,0
1775,2441,0
337,1003,1.6354
800,24898,0
4172,5,0
2696,1083,0
4297,2995,0
235,1304,0.0912
312,20,0.0912
1290,969,0
1090,409,0.456
1147,244,0
85,1766,0.0021
294,3336,0
9767,6418,0
669,306,0.2236
3899,1091,0
379,164,0
1269,132,0
126,845,0
6,1518,0
873,985,1.34
749,4171,0.171
683,553,0
16595,10688,0
