node,label
533,TSG 1899 Hoffenheim
452,BSC Young Boys
1622,FC Viktoria Köln
6368,Huachipato FC
800,Atalanta BC
2444,FC Wacker Innsbruck
5432,Al-Nasr (Dubai)
273,Stade Rennais FC
33304,Dalian Yifang
703,Nottingham Forest
399,Leeds United
132,NAC Breda
172,RSC Charleroi
269,Holstein Kiel
113,FC Carl Zeiss Jena
3684,Stevenage FC
39,1.FSV Mainz 05
11,Arsenal FC
232,Spartak Moscow
8590,Atlas Guadalajara
3535,Ulsan Hyundai
6574,US Sassuolo
16696,Gyeongnam FC
1017,Hapoel Tel Aviv
41855,Leipziger SV Südwest
1533,SD Eibar
1237,Brighton & Hove Albion
1244,CD Leganés
159,Red Star Belgrade
430,ACF Fiorentina
7047,Maidstone United
583,Paris Saint-Germain
7,El Ahly Cairo
1110,Huddersfield Town
40058,New York City FC
2457,Belenenses SAD
1403,Santos Laguna
972,Yeovil Town
2262,Plymouth Argyle
434,FC Luzern
4529,DAC Dunajska Streda
6429,Universitatea Cluj
1132,Burnley FC
3054,Shrewsbury Town
1219,Chesterfield FC
1804,Deportivo Toluca
48,Karlsruher SC
94,FC Erzgebirge Aue
3820,Mansfield Town
669,FK Partizan Belgrade
988,Oxford United
244,Olympique Marseille
324,Pogon Szczecin
25580,Melbourne City FC
790,NK Maribor
1078,Oldham Athletic
697,FC Slovan Liberec
197,AC Sparta Praha
352,Swindon Town
202,FC Groningen
18075,Club Deportivo Maldonado
9250,Chelsea FC U23
1268,ADO Den Haag
419,GNK Dinamo Zagreb
39722,Büyüksehir Belediye Erzurumspor
6195,SSC Napoli
23,Eintracht Braunschweig
239,Viking Stavanger
190,FC Copenhagen
164,Blackburn Rovers
2553,Kilmarnock FC
91,Preußen Münster
41,Hamburger SV
21,Chemnitzer FC
12,AS Roma
65,SpVgg Greuther Fürth
4171,Benevento Calcio
5358,SD Huesca
603,Cardiff City
43,Heart of Midlothian FC
2760,Partick Thistle FC 
1416,SC Amiens
124,Rangers FC
119,Maccabi Tel Aviv
247,SV Meppen
58,RSC Anderlecht
16214,Al-Wasl Sports Club
11688,Giresunspor
27,Bayern Munich
512,Stoke City
940,Celta de Vigo
72,TSV 1860 Munich
1109,BK Häcken
4035,CF Pachuca
289,Sunderland AFC
801,IFK Göteborg
1100,SK Brann
89,1.FC Union Berlin
1061,Los Angeles Galaxy
167,FC Augsburg
410,Udinese Calcio
2381,Sivasspor
6499,Daejeon Citizen FC
294,SL Benfica
931,Fulham FC
15,Bayer 04 Leverkusen
62,SK Slavia Prag
1041,Olympique Lyon
200,FC Utrecht
873,Crystal Palace
1053,Aalborg BK
681,Real Sociedad
2036,1.FC Heidenheim 1846
6954,Central Coast Mariners
991,Milton Keynes Dons
1049,Valencia CF
984,West Bromwich Albion
776,Coritiba Foot Ball Club
3537,Crawley Town
28760,SK Austria Klagenfurt
1023,Sociedade Esportiva Palmeiras
60,SC Freiburg
11177,Fleetwood Town
22178,Thespakusatsu Gunma
468,Sparta Rotterdam
9636,Seattle Sounders FC
903,Hibernian FC
