source,target,total_normalized_amount_for_old_players
2929,1108,0
2293,156,0
9074,420,0
447,204,0
290,1082,0.357142857
192,383,0
2,294,0
984,31,0
931,13509,0
14176,2227,0
3493,566,0
7185,2441,0
20684,740,0
6574,46,0
10468,6414,0
697,18913,0
1085,3323,0
1111,2976,0
168,170,0
7670,1147,0
2381,6890,0.148148148
2462,1075,0
449,2698,0
18938,398,0
128,7185,0
1104,12,0
1420,995,0
1511,10483,0
1053,3508,0
618,4000,0
5268,964,0
44548,2944,0
999,4634,0
1627,22619,0
21331,1025,0
1253,252,0
252,114,0
281,2288,0
27568,1038,0
288,79,0
8024,2990,0
19083,377,0
2671,980,0
720,984,0
467,631,0
479,850,0
225,524,0
354,128,0
148,1039,0
157,601,0
2441,3706,0
1025,1390,0
20,141,0
4603,6678,0
3812,144,0
14766,999,0
1627,332,0
2944,868,0
2921,862,0
1020,1041,0
458,252,0.345267238
81,24,0
3592,17959,0
6377,1897,0
1181,22,0
1429,4083,0
86,167,0
408,130,0
667,11300,0
3327,2952,0
6692,458,0
2311,631,0
983,266,0
24326,2662,0
52,10,0
5268,3610,0
252,1387,0
366,3368,0
6418,8847,0
40,162,0
337,2720,0
479,2311,0
128,2441,0.039473684
4628,20,0
4171,430,0
2430,336,0
327,1520,0
5572,26119,0
868,126,0
1286,3302,0
1465,2462,0
566,610,0
1085,883,0
1025,12,0.296296296
20,60529,0
148,12,0.144223171
1042,1010,0
4554,6195,0
6475,1897,0
1158,2411,0
1511,449,0
10483,820,0
553,2671,0
449,964,0
1038,839,0
2227,2420,0
4114,398,0
314,22786,0
6894,820,0
2662,122,0
618,417,0
3349,2639,0
2457,3348,0
3687,1083,0
467,192,0
566,1096,0
3,985,0
65,41,0
187,33,0
235,642,0
15945,128,0
171,367,0
430,19,0
3687,2418,0
1184,252,0
156,982,0
14366,192,0
327,4687,0
265,1084,0
2431,3348,0
327,1038,0
2402,2180,0
6536,839,0
2944,498,0
82,41,0.244740232
9544,419,0
5546,10481,0
2296,150,0
1433,2977,0
37024,3551,0
2321,28643,0
3690,2696,0
833,13702,0
2655,1038,0
1411,43562,0
28643,4078,0
856,10323,0
281,405,0.89390142
641,379,0
398,410,0
3690,9007,0
2976,605,0
25114,4814,0
865,1090,0
1082,6639,0
618,114,0
2058,169,0
2963,543,0
11972,403,0
16795,410,0
2783,10690,0
3205,6894,0
762,991,0
485,2027,0
11194,419,0
26459,6422,0
634,503,0
2444,14,0
1111,2282,0
3892,157,0
6630,1085,0
244,7769,0
3135,1147,0
8685,814,0
4482,6996,0
46,26,0
892,503,0
1159,4255,0
1436,3271,0
208,935,0.028588565
607,2639,0
24368,468,0
13504,1085,0
405,29,0
4554,46,0
3368,866,0
79,291,0
610,202,0
3205,7,0
3205,868,0
24898,130,0
338,8956,0
1421,1162,0
29228,8172,0
170,6158,0
21101,498,0
1520,144,0
5546,2598,0
703,180,0
120,664,0
715,941,0
1421,6603,0
58,180,0
2,79,0
79,86,0
26789,800,0
2451,543,0
332,839,0
589,2463,0
5817,10131,0
60,66,0
122,17444,0
800,506,0
4035,355,0.369344414
441,668,0
3592,5111,0
16247,2712,0
368,131,0
2662,7443,0
339,13726,0
239,120,0
1160,601,0
124,1123,0
11194,485,0
204,10298,0
169,683,0
2566,316,0
1322,197,0.19047619
157,566,0
430,4172,0
2420,2696,0
447,6808,0
23032,2374,0
4128,4000,0
964,786,0
20236,410,0
2995,1751,0
4864,2457,0
2441,1025,0
6600,2410,0
12105,447,0
935,73,0
202,1283,0
6678,2672,0
1158,9249,0
2867,2381,0
935,3551,0
8963,6993,0
1020,1039,0
18303,16239,0
2670,2441,0
449,1506,0
512,289,0
3690,2742,0
332,862,0
148,3057,0
408,6195,0
1084,8510,0
148,358,0.026666667
4102,206,0
2448,418,0
630,1049,0
62,5544,0
30082,294,0
512,25467,0
1085,720,0
15374,1038,0
6,114,0
985,398,0
14766,447,0
3205,12939,0
10093,1047,0
450,1322,0
2671,265,0
1227,643,0
3508,354,0
762,244,0
3212,820,0
95,44,0
892,6491,0
267,1164,0
169,5219,0
132,2964,0
1388,5180,0
8373,2722,0
595,31,0
353,24,0
862,675,0
105,86,0
2259,10,0
618,656,0
990,29,0
1290,1421,0
4033,12,0
1014,327,0
1003,984,0
6609,681,0
1387,749,0
820,19771,0
467,931,0
614,410,0
984,583,0
164,1098,0
940,2296,0
404,9933,0
2180,2257,0
128,265,0
4523,128,0
8728,244,0
663,157,0
6600,660,0
3302,366,0
1158,244,0.265957447
681,1108,0
47,8671,0
475,3038,0
3736,3508,0
6994,2742,0
157,1162,0
6087,223,0
10694,3592,0
2944,19771,0
25029,11194,0
875,2282,0
16296,6996,0
1388,862,0
2441,839,0
109,15,0
498,2282,0
1098,762,0
23826,206,0
142,595,0
39097,8838,0
3391,1091,0
10586,169,0
814,6383,0
62,814,0
130,252,0
2672,5689,0
200,989,0
60,16,0
1210,410,0
21725,2671,0
5225,479,0
455,2700,0
82,15,0
14,122,0
458,4541,0
281,1270,0
2740,10674,0
58,7769,0
825,4000,0
383,1123,0
6672,4128,0
2362,825,0.034883721
157,169,0
10468,18477,0
797,11115,0
6414,6432,0
3544,697,0
6182,5358,0
1326,447,0
12744,409,0
1032,873,0
276,800,0
677,931,0
664,1091,0
456,314,0
307,2394,0
416,1047,0
479,8047,0
368,13,0
12588,472,0
3733,2698,0
991,603,0
6371,3057,0
2995,8910,0
1227,235,0
6894,2292,0
200,1230,0
31,512,0
892,25379,0
762,29,0
3719,6407,0
2672,7185,0
12109,11194,0
367,317,0
10131,94,0
6676,28956,0
18,3,0
1389,499,0
1186,2410,0
332,5,0
1071,405,0.860873113
244,1159,0
144,2323,0
999,29424,0
347,1039,0
12109,8578,0
306,2262,0
10690,18801,0
738,583,0
321,46,0
2481,2410,0
3725,10482,0
337,349,0
475,520,0
7975,892,0
433,999,0
2,8,0
289,355,0
3691,121,0
734,1085,0
833,3216,0
1003,294,0
7378,1301,0
197,2311,0
144,11215,0
273,5773,0
3709,410,0
24279,601,0
2420,294,0
306,301,0
10138,5111,0
897,371,0
2420,720,0
2420,7788,0
1301,265,0
1464,41,0
475,618,0
2420,3,0
1090,499,0
2577,31,0
29095,5358,0.222222222
3,82,0
2035,1082,0
648,2867,0
874,72,0
24,162,0
1429,1387,0
603,641,0
2566,8101,0
6593,2079,0
16,281,0
121,2698,0
2995,1301,0
704,862,0
2330,2944,0
43562,2861,0
749,410,0
26789,430,0
985,22,0
3302,21283,0
2990,786,0
14,566,0
1073,354,0
3271,2425,0
3706,21725,0
677,11,0
2425,294,0
10492,409,0
72,825,0
18303,21216,0
416,12,0
2990,982,0
232,1164,0
6227,266,0
2457,3334,0
868,2292,0
39,365,0
1269,235,0
130,1387,1.39390142
1244,366,0
4172,12,0
840,2783,0
85,964,0
8733,16795,0
9250,157,0
430,790,0
2250,430,0
3368,14456,0
377,479,0
6764,862,0
4321,969,0
3690,23611,0
4361,1429,0
12,1025,0
327,5113,0
448,3391,0
6676,9,0
127,39,0
3062,8554,0
5589,749,0
458,762,0
4000,533,0
524,20,0
2703,2734,0
232,1083,0
22,641,0
1050,189,0
169,2049,0
458,862,0
2703,2125,0
398,180,0
169,2672,0
4750,12458,0
6994,8554,0
3368,366,0
714,2619,0
244,1080,0
1025,1386,0.031914894
2760,631,0
8544,4603,0
1031,1020,0
204,664,0
379,543,0
6709,144,0
6574,800,0
5405,419,0
1244,367,0
826,3898,0
15100,715,0
2721,6195,0
162,11,0
1184,601,0
8024,2425,0
6630,868,0
403,306,0
162,4550,0
2475,413,0
1085,2503,0
603,16795,0
44,80,0.141482739
34148,6676,0
122,672,0.090909091
131,162,0.212765957
1090,610,0.886023245
408,410,0
11402,327,0
1291,114,0
641,3610,0
2227,30954,0
2740,16239,0
1180,2477,0
4521,833,0
9114,266,0
2969,415,0
1210,458,0
600,1321,0
3392,34153,0
7975,365,0
409,232,0
800,130,0
410,6195,0
502,610,0
993,1531,0
940,252,0
6600,1301,0
3892,798,0
2472,266,0
44796,11194,0
21395,1321,0
3508,826,0
4064,605,0
4057,1180,0
18303,3886,0
141,524,0
422,383,0
609,1465,0
19058,7975,0
6621,1090,0
614,2410,0
2573,10314,0
1091,1876,0
192,499,0
2969,1147,0
506,4718,0
410,331,0
34096,314,0
1386,4084,0
272,968,0
7179,3325,0
24296,2503,0
380,1227,0
72,8,0
8305,524,0
11194,422,0
1421,347,0
237,1784,0
5,506,3.361823362
2457,3341,0
447,327,0
336,148,0
11337,1038,0
430,1038,0
2439,2783,0
566,2282,0
496,276,0
152,589,0
62,5546,0.021276596
15,1061,0
366,1533,0
2374,2698,0
599,314,0
26459,48726,0
683,4035,0
44,82,0.427350427
208,3385,0
697,38,0
720,1075,0
2662,324,0
999,498,0
6767,714,0
27190,714,0
15374,410,0
714,3709,0
16,27,0
6992,16242,0
2984,33569,0
2984,3060,0
642,8565,0
3336,2995,0
15952,4750,0
1023,79,0
127,475,0
566,2783,0
255,4128,0.00990099
27525,327,0
355,1098,0
3725,993,0
172,3948,0
3205,2049,0
5560,642,0
202,3327,0
2424,290,0
11337,1390,0
354,3898,0
1245,29,0
589,1264,0
2239,458,0
653,2759,0
1028,41,0
3592,6994,0
1322,3205,0
566,1176,0
2672,28958,0
503,1562,0
681,114,0
52,833,0
405,3021,0
289,429,0
114,18,0
317,265,0
12049,932,0
24773,47,0
3,3057,0
10690,12462,0
223,820,0
1090,355,0
1301,4768,0
1426,202,0
1083,2700,0
409,503,0
408,4718,0
177,2292,0
3392,3060,0
31,1074,0
399,2944,0
14157,968,0
749,430,0
605,3060,0.046511628
1050,1532,0
12,4102,0
2867,999,0
273,595,0
