source,target,total_normalized_amount_for_old_players
128,37783,0
15,82,0.307876849
3685,148,0
449,589,0
3307,114,0
110,24,0
11083,5107,0
41,82,0
6422,6996,0
312,2969,0
5544,918,0
610,540,0
399,281,0
18026,170,0
1038,11713,0
566,24296,0
86,4,0
7975,1321,0
850,820,0
29228,10512,0
3064,405,0
419,1387,0
235,499,0
301,1506,0
749,6195,0
2713,58,0
1264,2238,0
415,6450,0
1701,2995,0
22262,11083,0
22177,7378,0
1004,4603,0
3209,449,0
4585,2726,0
2125,982,0
20,543,0
6423,4482,0
26969,410,0
2963,1071,0
583,289,0
868,5595,0
13549,2672,0
19771,868,0
5546,2311,0
42,199,0
2227,2742,0
2867,7077,0
200,3237,0
1421,1159,0
984,157,0
1421,995,0
114,14933,0
449,2944,0
6996,3886,0
122,4321,0
1775,152,0
1897,5546,0
648,294,0
42609,468,0
543,873,0
11282,833,0
3725,6992,0
22197,506,0
170,1378,0
2420,800,0
985,244,0
17444,31427,0
4554,800,0
605,2259,0
1043,1322,0
3508,172,0
399,46,0
3691,4603,0
18026,468,0
7918,499,0
58,430,0
2696,11135,0
931,349,0
1085,12815,0
1181,873,0
968,11488,0
159,142,0
3892,2282,0
3125,797,0
703,3008,0
2814,989,0
110,1321,0
936,2394,0
5138,5225,0
618,1095,0
2794,873,0
968,234,0
405,24219,0
337,352,0
1039,11438,0
2503,50441,0
2067,601,0
3592,18477,0
290,467,0
6201,941,0
46,416,0
40582,982,0
1160,1162,0
21957,5220,0
31,931,0
6767,15,0
543,3057,0
131,641,0
553,2669,0
21600,1091,0
1160,826,0
23611,2477,0
595,6365,0
339,35272,0
6418,33438,0
12523,720,0
355,164,0
762,11,0
2079,7475,0
3348,720,0
5268,2703,0
379,22,0
3368,2441,0
19488,1025,0
2288,3937,0
1387,4146,0
479,5545,0
1043,2394,0
24331,892,0
1070,2444,0
290,3057,0
1042,405,0
1506,14569,0
11282,27603,0
3159,1433,0
3368,506,0
5111,2566,0
5544,5545,0
1386,2778,0
2593,355,0
667,60,0
127,18,0
314,24575,0
982,786,0
2984,683,0
1134,294,0
294,35387,0
7769,2995,0
27001,252,0
317,1100,0
10390,252,0
162,331,0
1038,1429,0
1897,1322,0
3274,2990,0
861,458,0
1269,31614,0
1159,322,0
3892,403,0
543,641,0
358,543,0
3687,12427,0
7812,2423,0
171,1429,0
450,12163,0
1322,797,0
4750,3349,0
1075,1301,0
169,6402,0
265,2441,0
15,39,0
589,6,0
336,2503,0
801,1390,0
12302,6249,0
141,6890,0
2581,252,0
968,1443,0
1050,1049,0
498,223,0
631,41,0
2420,10969,0
377,2311,0
2156,2977,0
43502,2374,0
512,677,0
20519,276,0
290,3911,0
18,8,0
2698,4494,0
697,10481,0
1150,405,0
86,85,0
1386,8970,0
715,2760,0
642,10915,0
2292,3211,0
2423,6912,0
20,2829,0
2455,1039,0
130,16251,0
10140,2639,0
623,355,0
3973,2424,0
987,762,0
6,524,0
290,520,0
306,384,0
1103,6195,0
820,13473,0
19628,420,0
294,51828,0
10670,416,0
40,3166,0
399,11,0
2867,3709,0
78,4,0
7646,653,0
989,5228,0
1030,6676,0
3368,897,0
3958,18,0
4093,398,0
10314,14560,0
12109,2416,0
1467,11688,0
58,41,0
3837,157,0
2672,18076,0
8101,2362,0
24,9168,0
607,252,0
964,2698,0.212765957
30244,4814,0
3551,3535,0
52,42,0
8023,79,0
776,1301,0
467,167,0
314,999,0
3993,2441,0
2150,4814,0
6676,6025,0
358,1039,0
10773,1108,0
2441,9083,0
833,10803,0
16,418,0
4603,169,0
4814,1075,0
1435,317,0
1304,132,0
273,289,0
3999,683,0
3315,475,0
7124,3911,0
33734,458,0
1304,2311,0
1082,1162,0
1075,2425,0
1418,714,0
1264,833,0
3057,2977,0
1244,171,0
35,533,0
1897,4537,0
1227,610,0
2687,999,0
30,15,0
13278,339,0
1049,2425,0
5192,2394,0
1020,128,0
3341,336,0
18303,12302,0
801,798,0
979,25671,0
6993,12518,0
1436,720,0
33,94,0
595,1041,0
1267,5743,0
660,131,0
3551,2783,0
982,2035,0
169,235,0
1110,762,0
2464,2282,0
2740,30697,0
6992,7614,0
171,410,0
446,33,0
2923,3368,0
5,1210,0
244,585,0
618,527,0
6992,2782,0
19789,868,0
13726,11117,0
800,5514,0
1091,1132,0
189,2737,0
33783,2477,0
618,631,0
2439,41494,0
20609,5544,0
379,1028,0
4085,1627,0
347,2282,0
498,20,0
306,1304,0
131,940,0
2740,23634,0
18,39,0
6994,3886,0
447,1022,0
554,339,0
209,13,0
20,3216,0
383,42,0
485,122,0
4153,398,0
144,3785,0
583,12,0
2703,3205,0
11008,148,0
162,417,0
2330,1506,0
20698,11688,0
23826,80,0
1090,133,0
494,273,0
5546,62,0
13,12321,0
6632,1269,0
2687,410,0
873,1060,0
749,46,0
116,2700,0
2462,653,0
506,418,5.241903239
2521,46,0
172,1184,0
1210,4097,0
1175,273,0
16247,6992,0
1274,2861,0
4271,410,0
244,14,0
4104,458,0
814,708,0
416,6195,0
506,142,0
2330,868,0
4521,1467,0
33620,683,0
995,10484,0
980,2984,0
1017,338,0
1095,13366,0
1268,1283,0
3691,11126,0
12321,621,0
862,1465,0
337,3008,0
150,4297,0
2410,683,0
2227,16243,0
2639,2698,0
3230,718,0
1162,3277,0
419,11107,0
683,321,0
1025,704,0
1304,642,0
39,683,0
379,2804,0
683,422,0
1416,36630,0
583,358,0
4,533,0
11085,2420,0
683,7006,0
37,1096,0
970,2293,0
167,18,0.09009009
255,11,0
109,2311,0
337,1072,0
164,2553,0
475,289,0
3060,5220,0
13299,941,0
833,27942,0
1073,3057,0
234,964,0
687,4795,0
377,1322,0
38,42,0
52,2282,0
1044,273,0
9010,1245,0
4040,3592,0
3834,3725,0
1210,2723,0
3336,8239,0
144,3654,0
3368,134,0
2425,609,0
27568,2722,0
419,3709,0
132,7527,0
8174,3691,0
660,543,0
36,126,0
2049,2783,0
7088,1467,0
520,3085,0
1075,236,0
403,1435,0
866,2251,0
978,2672,0
681,24,0
4031,19,0
5,800,0.210118319
2741,2737,0
5545,7975,0
458,1134,0
2497,1147,0
467,447,0
449,4641,0
12469,4603,0
2995,1085,0
979,2639,0
419,6808,0
2867,648,0
2721,800,0
40,1161,0
314,11148,0
458,2745,0
1429,416,0
12100,642,0
583,3008,0
5225,22454,0
3709,336,0
687,985,0
1091,6677,0
819,932,0
862,4167,0
126,10484,0
10787,79,0
6993,23611,0
13607,610,0
2598,377,0
2740,3592,0
5753,2503,0
3785,498,0
506,9690,0
2262,29,0
152,845,0
5219,21941,0
1283,12124,0
4634,601,0
6908,21957,0
749,10155,0
540,814,0
10010,368,0
1267,868,0
798,1227,0
355,22,0
1147,290,0
107,24,0
6676,1837,0
1010,984,0
3568,868,0
4603,4582,0
23,39,0
467,984,0
681,141,0
607,12,0
415,417,0
6996,6993,0
2784,1506,0.071428571
1049,2288,0
5573,47,0
2374,1693,0
8705,1159,0
130,27525,0
475,2,0
2394,804,0
2990,984,0
603,3537,0
6418,6342,0
720,82,0
327,8047,0
409,724,0
252,232,0
1025,40352,0
10,41,0
1420,3524,0
2672,3396,0
1005,1411,0
449,415,0
2374,11135,0
593,1268,0
317,180,0
5689,3725,0
1267,3207,0
265,294,0
2697,347,0
595,2580,0
4053,3709,0
1075,8907,0
1750,4482,0
28643,3726,0
22220,2672,0
738,244,0
3327,2990,0
2424,2441,0
31007,327,0
2425,2422,0
447,5107,0
4333,4102,0
12861,6380,0
3690,8835,0
38,289,0
595,1421,0
418,511,0
23611,10690,0
1444,1158,0
46,281,0.89390142
190,82,0
36745,1390,0
20770,130,0
86,660,0
2727,58,0
1031,868,0
19771,2293,0
1237,603,0
2262,543,0
1158,2968,0
4394,964,0
2990,1301,0
4033,130,0
155,8346,0
1301,2431,0
5546,7087,0
621,236,0
2698,4128,0
31,1098,0
1034,358,0
332,979,0
855,826,0
79,164,0
189,1003,0
10484,6107,0
3999,128,0
14542,441,0
17768,162,0
631,418,1.367521368
23611,338,0
190,498,0
13299,377,0
1467,12374,0
324,28095,0
2446,506,0
485,12908,0
8963,2227,0
1385,1386,0
2296,1050,0
12794,599,0
2464,1244,0
265,897,0
6195,4333,0
3697,1039,0
1322,697,0
1429,1047,0
642,1068,0
23664,2362,0
273,931,0
599,2582,0
2969,5,0
1161,347,0
6678,5219,0
5546,697,0
1506,10484,0
49866,2995,0
984,399,0.194805195
2936,5220,0
2420,897,0
2972,1158,0
11273,162,0
208,3719,0
47,34399,0
39,533,0
4,2696,0.279477764
131,336,0
1123,1078,0
839,7178,0
4745,1085,0
5,418,0
383,33,0
404,383,0
383,190,0
3985,553,0
3205,845,0
5544,33783,0
409,3176,1.428571429
6890,2944,0
653,33439,0
1041,232,0
2931,762,0
518,10484,0
2425,4814,0
45321,265,0
630,418,0
1429,5514,0
19771,4391,0
543,1132,0.081271555
39,4773,0
355,703,0
1031,379,0
2464,1245,0
524,897,0
62,18,0
714,114,0
2250,19,0
404,234,0
589,3205,0
2425,12988,0
232,902,0
13604,10483,0
13499,2783,0
971,641,0
4128,1320,0
114,1267,0
648,366,0
14,18,0
408,2655,0
1081,1161,0
1085,15368,0
1269,383,0
1124,3691,0
2778,940,0
3706,21957,0
1267,7452,0
314,13390,0
990,148,0
2977,10370,0
833,11933,0
8758,1390,0
1321,7918,0
1087,4750,0
2672,265,0
2793,543,0
5107,1520,0
2421,2424,0
2424,2995,0
524,422,0
8445,931,0
10140,1301,0
683,3899,0
2441,531,0
3062,128,0
2510,65,0
1080,1005,0
449,3368,0
398,36100,0
2793,1020,0
839,1307,0
583,119,0
7160,10484,0
37975,11282,0
18303,10540,0
2457,180,0
120,3209,0
10484,41,0
6992,2477,0
798,30857,0
498,1184,0
1322,450,0
3911,244,0
2464,170,0
144,26357,0
1701,2425,0
2696,2672,0
16,131,0
1075,150,0
2323,2293,0
289,449,0
289,1237,0
940,4032,0
6894,11110,0
8536,223,0
1269,8512,0
11609,3551,0
336,13,0
2457,9961,0
327,5405,0
3368,993,0
862,609,0
10980,2296,0
1147,3973,0
982,2432,0
281,6890,0
337,180,0
20,498,0.019047619
40445,1091,0
10140,2995,0
84,403,0.052631579
862,2331,0
170,2440,0
1533,45278,0
982,184,0
2409,197,0
636,1091,0
1025,1005,0
60,964,0
19771,16343,0
3714,2703,0
9007,12019,0
2079,1837,0
4,42,0
10920,1162,0
128,653,0
14,750,0
260,410,0
2781,14,0
449,4,0
610,1304,0
3725,135,0
833,10484,0
33308,19771,0
5546,1401,0
1020,762,0
6996,35394,0
762,1270,0
5545,94,0
28643,347,0
681,171,0
28095,524,0
610,206,0
1041,11,0
2431,2428,0
642,204,0
148,11,0
5,132,0
20,1071,0
6676,2,0
338,162,0
687,180,0
141,2754,0
1134,868,0
4361,46,0
9249,379,0
2311,11117,0
979,2421,0
2420,30686,0
826,3318,0
80,122,0
839,4031,0
599,9233,0
1301,2990,0
2381,825,0
2782,918,0
200,724,0
32057,409,0
132,58,0
1387,318,0
2079,6676,0
244,26091,0
405,984,0.239904038
641,512,0
4330,46,0
10247,2410,0
2331,839,0
618,10773,0
200,15540,0
192,4772,0
1443,2293,0
11128,3691,0
1091,449,0
2696,3609,0
410,14171,0
499,301,0
1124,3834,0
1511,845,0
367,18687,0
294,6368,0
583,995,0
1073,20707,0
798,1304,0
2454,931,0
2311,1321,0
800,209,0
6996,20593,0
2969,969,0
1184,2338,0
31,8037,0
16795,1531,0
2727,41274,0
148,1198,0
6249,3725,0
2441,24,0
5648,142,0
234,132,0
5587,252,0
18950,430,0
866,1147,0
833,114,0
458,12,1.071428571
2744,2742,0
2566,918,0
2524,2420,0
1241,19,0
409,3,0
931,2566,0
5219,1042,0
8835,121,0
415,26,0
86,39,0
986,29,0
866,252,0
2995,4750,0
931,8054,0
12745,180,0
2477,238,0
2457,7378,0
599,8007,0
47,4602,0
1164,3508,0
500,798,0
2311,814,0
41,86,0
2580,595,0
2990,7769,0
234,237,0
813,931,0.213333333
4673,252,0
122,4085,0
4102,46,0
66,3551,0
1186,2439,0
499,26,0
1443,377,0
11615,16795,0
2424,23402,0
862,4341,0
6907,6996,0
804,5544,0
5225,3795,0
5219,8758,0
15541,44,0
235,723,0
6190,1073,0
1075,2035,0
8,127,0
825,524,0
2074,2973,0
2063,2441,0
873,31,0
11836,4482,0
1210,252,0
1465,33313,0
3057,169,0
7656,2995,0
80,144,0
150,2867,0
5111,6347,0
2,4,0
368,1032,0
1228,642,0
281,350,0
2790,1025,0
23611,18303,0
988,11,0
9642,314,0
1100,332,0
294,3341,0
10002,856,0
410,398,2.235380117
1411,4558,0
366,621,0
14171,940,0
5111,11103,0
12861,2598,0
1003,1010,0
10140,1085,0
1085,1091,0
152,20,0
1158,7185,0
3772,855,0
399,1100,0
204,2503,0
8838,48726,0
3958,82,0
1423,1290,0
336,1003,0
2,683,0
331,171,0
12,631,0
1408,862,0
93,18,0
419,170,0
127,15,0
33,610,0
968,28107,0
467,4793,0
895,3508,0
29225,3706,0
589,2944,0
192,26,0
1003,1027,0
12302,2227,0
585,1049,0
4064,16,0
683,3060,0
5615,410,0
9955,985,0
995,4727,0
11609,312,0
26,697,0
964,27,1.170212766
2698,6890,0
631,162,0
379,512,0
599,683,0
1506,20,0
3704,355,0
36,232,0
566,475,0.141343463
290,208,0
25243,1075,0
610,148,0
10,16,0
447,13716,0
4159,1025,0
2425,23315,0
18075,2726,0
1268,293,0
17444,935,0
32125,862,0
3267,2424,0
209,294,0
449,43,0
1322,5546,0
610,940,0
2977,3159,0
18303,2740,0
566,8817,0
11141,468,0
1531,368,0
2227,2744,0
135,3958,0
56,3551,0
618,169,0
750,417,0
964,170,0.105263158
44858,172,0
36,749,0
4814,8956,0
5220,169,0
6433,1083,0
6395,2410,0
714,683,0
13562,800,0
2292,833,0
23387,204,0
1992,7179,0
4482,23611,0
5,1005,0
253,2227,0
25,3,0
814,282,0
1071,932,0
428,15,0
17064,126,0
2696,713,0
506,1103,0
11127,35387,0
1198,1132,0
371,281,0.612865497
289,399,0
2696,19401,0
1002,4482,0
4102,1390,0
660,3917,0
234,642,0
6992,6422,0
2063,244,0
2944,17776,0
169,904,0
4254,408,0
2296,418,0
3060,3161,0
9631,2727,0
1198,3008,0
1041,2067,0
4961,595,0
211,2394,0
9369,3348,0
585,13,0
448,8835,0
1162,2180,0
36,3207,0
931,466,0
419,2573,0
1025,5621,0
1035,641,0
6541,941,0
985,355,0
221,294,0
801,430,0
355,415,0
1210,4114,0
1123,631,0
2321,1411,0
2919,410,0
5225,32017,0
380,1387,0
2156,982,0
266,3205,0
13477,314,0
2457,1075,0
653,553,0
30,41,0
985,6600,0
306,17300,0
1897,7133,0
5650,5219,0
1029,338,0
6574,1385,0
1508,1267,0
750,162,0
897,11596,0
1245,332,0
336,1087,0
39807,1506,0
1237,350,0
969,618,0
968,603,0
157,5026,0
2180,2973,0
3159,157,0
585,131,0
2481,2703,0
2282,204,0
630,609,0
234,358,0
252,56966,0
210,294,0
380,410,0
19,114,0.543478261
2995,25243,0
15374,458,0
19,367,0
2973,172,0
8519,2990,0
336,6414,0
142,331,0
1291,45545,0
272,1083,0
713,121,0
9816,1429,0
20634,377,0
24,167,0.065789474
583,2990,0
312,62,0
1091,35415,0
29225,5219,0
3725,159,0
984,6676,0
422,1390,0
17300,2439,0
7020,5219,0
80,450,0
131,1049,0
4424,999,0
855,5773,0
6808,5107,0
354,9095,0
10107,29228,0
606,2867,0
355,2262,0
132,968,0
677,6683,0
543,2457,0
12474,23611,0
4104,130,0
897,3631,0
553,3396,0
968,3230,0
1184,237,0
6088,5225,0
3057,2282,0
403,133,0
7789,2420,0
90,868,0
204,5,0
11194,10968,0
257,410,0
18105,2712,0
4097,130,0
830,458,0
10820,157,0
2431,2457,0
2319,10484,0
1175,1041,0
80,4244,0
15,609,0
875,1090,0
1519,1119,0
419,12109,0
10468,952,0
2079,724,0
4565,762,0
1132,337,0
1204,868,0
479,600,0
504,379,0
398,49610,0
46853,28956,0
631,18,0
6195,458,0
135,11116,0
2573,29228,0
1020,2793,0
1304,1426,0
3008,1089,0
12,8652,0
399,1132,0
331,11596,0
14176,6994,0
8728,1158,0
3271,2995,0
167,9982,0
152,6630,0
202,801,0
2180,347,0
3938,553,0
1245,6894,0
1038,38290,0
10131,13025,0
605,294,0
749,10748,0
5619,985,0
14,11609,0
5220,3396,0
80,15,0
13544,2079,0
1091,410,0
17300,968,0
8031,3690,0
19,1010,0
2423,3345,0
18945,441,0
2517,820,0
22275,6195,0
19771,1109,0
105,4,0
3601,1511,0
850,2740,0
6992,21218,0
62,121,0
724,642,0
714,1165,0
4779,1269,0
2463,1267,0
62,1443,0
294,2434,0
2740,13017,0
8380,1408,0
124,337,0.127846211
2035,660,0
1005,1389,0
8172,336,0
3064,2288,0
8023,132,0
3842,2293,0
506,14888,0
1322,155,0
762,148,0
984,244,0
683,829,0
189,265,0
7057,605,0
982,36628,0
3325,3327,0
28536,410,0
1003,677,0
197,715,0
6610,47,0
84,720,0
4320,122,0
1533,12361,0
3709,1162,0.111111111
1161,618,0
312,327,0
294,1075,0
660,17300,0
866,12,0
1003,1098,0
330,232,0
8970,130,0
339,964,0
720,1070,0
1164,3135,0
499,2433,0
2750,524,0
5220,903,0
12,585,0
2662,2446,0
3725,232,0
29228,2990,0
1321,450,0
34395,1417,0
3739,3396,0
237,131,0
235,1426,0
291,1119,0
798,403,0
42039,450,0
17444,28844,0
408,276,0
413,197,0
171,2444,0
150,2497,0
12,148,0
1423,1158,0
131,237,0
4603,786,0
20857,2969,0
1003,29,0
25243,1085,0
5572,4864,0
1876,5219,0
56,383,0
12378,10483,0
170,409,0
80,4947,0
84,338,0
172,667,0
723,403,0
1073,1187,0
1073,6348,0
999,765,0
606,3302,0
38676,128,0
44,141,0
4083,458,0
3349,2503,0
399,350,0.034186325
826,618,0
2424,3341,0
833,924,0
873,379,0
2462,232,0
28760,4441,0
10694,6414,0
204,3719,0
282,327,0
4787,409,0
2180,58,0
506,985,0
162,415,0
362,306,0
1071,1237,0
162,2464,0
5707,1465,0
126,11675,0
833,141,0
337,1039,0
1085,47,0
2434,2521,0
6621,2598,0
4035,367,0
4,10857,0
1176,244,0
255,403,0
44,41,0
156,2671,0
498,6304,0
875,5546,0
2698,3302,0
2742,4394,0
2582,7378,0
999,3237,0
8817,46,0
11107,86,0
1134,273,0
935,2446,0
244,7670,0
11075,1268,0
605,3706,0
18303,29109,0
5192,122,0
13716,13726,0
441,4591,0
383,82,0
18,316,0
1083,6994,0
3212,449,0
209,410,0
720,4688,0
1455,2662,0
1204,126,0
422,25,0
10484,141,0
450,11411,0
2293,152,0
1084,1049,0
3385,903,0
170,443,0
447,1014,0
380,3349,0
244,289,0
1180,16704,0
39,139,0
79,260,0
171,86,0
595,1081,0
232,1178,0
940,1049,0.135135135
82,10,0.038304094
2944,7775,0
3182,9007,0
1078,1071,0
1465,7790,0
3205,126,0
19,1307,0
42,5560,0
3711,289,0
1306,566,0
42,139,0
2441,14843,0
1244,331,0
1433,204,0
12318,28643,0
232,6195,0
6432,1083,0
5287,2703,0
84,383,0
2441,12935,0
3571,936,0
122,46,0
314,36100,0
1082,595,0
2687,266,0
9439,1025,0
5707,2503,0
1147,1159,0
2156,2783,0
32013,862,0
7378,3336,0
1411,3062,0
197,428,0
32832,697,0
601,2727,0
31,418,0
314,29800,0
618,7042,0
1426,467,0
72,39,0
3785,172,0
1416,1158,0
720,631,0
868,502,0
9079,14,0
86,38,0
10907,2079,0
452,416,0
447,57,0
506,4171,0
1627,4271,0
3216,447,0
3336,3327,0
8541,377,0
12,4554,0
648,621,0
1162,5,0
60,51772,0
148,33,0
3327,1701,0
697,8956,0
1444,762,0
33,2311,0
3558,1245,0
3684,164,0
16,141,0
29,1078,0
9320,12109,0
420,5107,0
2381,2750,0
36,11,0
6894,6890,0
2441,4616,0
1075,524,0
26619,1091,0
36100,918,0
208,2703,0
498,157,0
141,2293,0
1269,200,0
1025,3522,0
349,989,0
331,1536,0
499,468,0
6267,169,0
2646,126,0
9715,800,0
3532,2477,0
2502,331,0
3725,16594,0
3057,2990,0
38,121,0
1164,1161,0
1162,1420,0
252,4321,0
468,1268,0
6269,5220,0
129,82,0
3892,354,0
6248,150,0
197,540,0
410,416,0
180,29,0
204,3315,0
28643,2861,0
1010,337,0
58,631,0
1084,630,0
385,1269,0
2350,157,0
683,36076,0
282,631,0
3795,5544,0
1387,1385,0
862,293,0
1184,2282,0
8970,1627,0
723,169,0
250,3216,0
1897,2311,0
1085,1064,0
294,8827,0
21957,169,0
84,252,0
30200,1162,0
7088,449,0
12109,918,0
1302,631,0
2984,7646,0
1322,15979,0
33324,2990,0
845,2330,0
169,2118,0
157,2977,0
20681,449,0
1627,430,0
1180,121,0
3080,2381,0
5,9007,0
2722,1390,0
3551,14,0
202,643,0
681,5358,0
4814,829,0
3277,2410,0
2444,5469,0
89,41,0
29228,1096,0
144,15356,0
36134,1038,0
10484,2038,0
6994,45156,0
11900,862,0
3898,2180,0
1443,5220,0
12063,2374,0
45,4795,0
1005,156,0
2740,8963,0
410,27561,0
999,8445,0
11382,358,0
993,430,0
7074,506,0
301,58,0
1181,180,0
1091,159,0
1047,642,0
15759,7975,0
601,1096,0
29962,21957,0
5587,6195,0
5225,12208,0
6414,984,0
2420,25243,0
10492,979,0
19,1038,0
9083,2675,0
384,317,0
3392,8703,0
2079,4792,0
10787,2425,0
2292,524,0
1322,7975,0
1533,16795,0
1025,10643,0
377,6038,0
3008,984,0
8817,403,0
1091,2672,0
2990,1532,0
2209,520,0
3725,2441,0
3057,1199,0
750,543,0
159,157,0
6087,447,0
1186,2693,0
931,239,0
24,2,0.178571429
918,9241,0
1264,740,0
1123,3302,0
144,11609,0
2,336,0
826,969,0
3060,2439,0
467,410,0
14171,8817,0
1020,931,0.394736842
126,291,0
2696,11127,0
656,398,0
605,8028,0
2598,22194,0
5543,430,0
11337,5,0
61,1041,0
21903,6993,0
2504,10484,0
6767,366,0
2553,331,0
266,293,0
377,1443,0
4128,2698,0.23255814
1290,2639,0
19004,13716,0
2700,21507,0
1075,3336,0
1049,940,0
2457,4032,0
9528,19,0
552,11609,0
1227,467,0
3725,3719,0
44424,28643,0
3327,2829,0
6994,18303,0
648,630,0
72,403,0
537,33,0
941,169,0
607,1047,0
10157,2698,0
12462,485,0
1532,940,0
60,338,0
4772,749,0
677,162,0
409,10,0
1301,2503,0
20,2782,0
918,12514,0
14579,1158,0
524,260,0
237,41,0
14848,130,0
7178,1085,0
762,3225,0
12009,1301,0
265,429,0
2457,3037,0
1045,543,0
2441,330,0
405,13,0
8835,10627,0
290,46,0
366,506,0
40,1084,0
234,430,0
6368,458,0
8427,28643,0
366,940,0
1158,290,0
53,631,0
1210,2581,0.210526316
41201,3691,0
234,1010,0
282,3,0
294,1123,0
697,1305,0
339,2740,0
317,1035,0
630,131,0
41,25,0
2282,683,0
1082,379,0
7989,1119,0
5773,1073,0
7185,10773,0
2867,31,0
5220,2441,0
1050,11000,0
583,873,0
3729,2741,0
5358,3948,0
5544,941,0.011395442
1162,46,0
5773,1411,0
26854,2079,0
2776,2362,0
5677,1075,0
4603,21597,0
290,826,0
734,868,0
527,244,0
2995,2457,0
892,5544,0
2,15,0
1108,681,0
4600,2675,0
221,121,0
403,383,0
131,660,0
6984,2282,0
244,1162,0
2420,814,0
814,18963,0
1084,11831,0
10690,18303,0
86,200,0
316,2444,0
1167,642,0
786,8024,0
16245,2696,0
1112,29,0
862,6195,0
6630,141,0
1085,2441,0
833,120,0
8718,2282,0
504,409,0
1041,3524,0
10428,204,0
18,111,0
54652,1386,0
202,6643,0
289,141,0
2282,566,0
184,383,0
131,1023,0
618,895,0
607,1386,0
223,8578,0
331,16,0
964,932,0
605,8554,0
704,506,0
2703,15309,0
37474,2420,0
11107,2995,0
2727,3600,0
128,1876,0
1010,29,0
7775,1506,0
8758,265,0
12657,999,0
931,370,0
12321,512,0
377,8685,0
475,1417,0
6248,1083,0
6414,209,0
458,1385,0
3714,1083,0
265,4603,0
11215,419,0
6678,6676,0
281,1049,0
2439,3719,0
2995,3336,0
379,990,0
543,762,0
1531,621,0
11126,11127,0
1091,3062,0
197,1321,0
1184,1090,0
1227,1228,0
6418,2425,0
750,2381,0
12555,20,0
3993,3391,0
14435,130,0
3558,14171,0
322,1025,0
23611,8963,0
3060,786,0
4602,169,0
4812,2783,0
132,350,0
984,2413,0
1037,336,0
94,317,0
17250,265,0
447,1823,0
1110,1039,0
16795,294,0
4297,2457,0
2262,873,0
202,800,0
47,41166,0
1003,2814,0
1091,2726,0
2726,1837,0
2180,28643,0
568,410,0
4271,506,0
142,110,0
720,1110,0
6992,58866,0
607,1059,0
3062,7475,0
252,244,0
26789,276,0
347,7042,0
1148,11,0
1049,410,0
16795,4835,0
6414,10690,0
358,1060,0
410,21550,0
1025,4326,0
79,504,0
697,4106,0
5886,2381,0
47,1044,0
368,1531,0
1322,2703,0
48,4,0
6994,2740,0
80,89,0
540,419,0
20,41,0
506,11141,0
273,1059,0
475,527,0
2241,498,0
8524,28643,0
6267,265,0
449,1158,0
8578,2566,0
5589,430,0
790,1390,0
6418,829,0
1228,377,0
467,6160,0
991,1039,0
714,1041,0
6163,1268,0
1039,3234,0
21218,9007,0
58,291,0
11126,28095,0
265,10409,0
11127,4057,0
1008,169,0
367,720,0
266,10496,0
6195,4337,0
8101,144,0
2424,23315,0
2362,5111,0
170,2394,0
669,601,0
8505,314,0
2696,156,0
873,2374,0
995,273,0
1148,931,0
19662,2740,0
449,940,0
1083,16704,0
6195,861,0
1436,7056,0
2742,12302,0
873,352,0
918,25030,0
337,1220,0
2990,9138,0
398,22,0
2580,1158,0
332,148,0
6890,2319,0
1005,410,0
1162,417,0
18303,6996,0
336,19060,0
6429,3057,0
255,683,0
2441,472,0
403,30,0
195,16704,0
2282,1096,0
327,124,0
6418,6985,0
11032,918,0
2464,589,0
164,1020,0
2374,25292,0
3134,520,0
3728,2282,0
232,39,0
172,2861,0
276,26789,0
1210,10262,0
3551,33,0
2646,2425,0
202,1100,0
34996,1301,0
941,540,0
641,1110,0
7975,5545,0
122,28760,0
5514,800,0
22619,5,0
16,15,0
9802,2783,0
4594,553,0
3057,2976,0
8841,2698,0
1042,985,0
157,475,0
5358,265,0
798,132,0
350,36,0
21601,4602,0
3,210,0
244,595,0
456,144,0
2672,1147,0
1268,29831,0
29228,6105,0
999,20655,0
2239,6574,0
2531,3349,0
2778,1268,0
1301,3348,0
8091,2420,0
2457,2995,0
583,1175,0
150,458,0
19789,10010,0
2977,3134,0
839,2655,0
2737,316,0
786,6418,0
10,672,0
2944,126,0
11128,6993,0
41,503,0
618,29228,0
52,883,0
43560,28643,0
2598,321,0
162,29228,0
3691,6432,0
6195,862,0.036711035
610,189,0
379,873,0
2448,368,0
1160,415,0
2,1277,0
1387,1408,0
1268,1270,0
4652,1506,0
683,366,0
902,244,0
1084,23956,0
5,20,0
1564,982,0
128,445,0
6432,2439,0
3772,19588,0
7185,666,0
903,798,0
6342,2783,0
1627,4085,0
2375,6894,0
12054,3714,0
1084,265,0
23088,543,0
984,338,0
618,1230,0.095238095
999,3900,0
524,330,0
10331,3327,0
1103,1387,0
10331,29228,0
2457,13,0
6890,1506,0
8707,10483,0
3592,2049,0
6483,814,0
21,38,0
5225,197,0
130,10155,0
2296,3709,0
167,85,0
3972,2750,0
1158,1160,0
1164,2639,0
3911,1420,0
1245,58,0
14,434,0
383,167,0
2481,1184,0
6574,32135,0
667,895,0
4589,60959,0
1220,148,0
281,698,0
3984,3706,0
379,985,0
43571,130,0
2672,1085,0
1025,199,0
3391,2672,0
3336,2503,0
3385,3060,0
17,38,0
244,826,0
999,918,0
47,3391,0
1291,3209,0
