source,target,weight
27,506,4
27,2288,1
27,533,1
27,862,1
27,79,1
27,86,1
23826,984,1
23826,44,1
23826,371,1
23826,114,1
23826,108,1
23826,9572,1
23826,4529,2
23826,167,1
23826,10,1
23826,17444,1
23826,2,1
23826,4,1
23826,206,3
16,131,1
16,11,2
16,18,1
16,940,1
16,15,1
16,1326,1
16,150,1
16,60,1
16,762,2
16,79,3
16,618,1
16,72,1
16,533,1
533,27,4
533,16,2
533,897,1
533,60,2
533,4795,2
533,94,1
533,2,1
533,42,2
533,80,2
533,109,2
533,2440,1
533,105,1
533,448,1
533,6499,1
533,144,1
3,33714,1
3,121,1
3,89,1
3,16,1
44,82,1
44,86,1
44,26,1
44,35,1
44,1557,1
44,776,1
44,91,1
44,38,1
44,9252,1
60,16,2
60,18,1
60,23,1
60,4,2
60,38,1
60,91,1
60,89,2
60,48,2
60,9252,1
60,39,2
86,27,1
86,399,1
86,65,1
86,2036,1
86,22220,2
86,533,1
86,1804,1
86,419,1
86,38,2
86,1268,1
86,4,2
86,170,1
86,45604,1
86,1426,1
86,1096,2
86,2,1
18,16,1
18,41,1
18,7055,1
18,42,1
18,533,2
18,452,1
18,38,1
18,192,2
18,970,1
18,30,1
18,434,2
18,127,1
18,379,2
18,631,1
33,506,2
33,368,2
33,105,1
33,167,1
33,65,1
33,254,1
33,80,2
33,403,1
33,11,1
33,512,1
33,89,1
33,4795,1
33,610,1
33,79,1
33,192,1
33,3368,2
33,3551,1
33,148,1
33,631,2
33,27,2
24,33,1
24,9855,1
24,81,1
24,504,1
24,294,1
24,105,1
24,269,1
24,631,1
24,985,1
24,418,2
24,430,2
24,29,1
15,5,1
15,23826,1
15,379,1
15,16,1
15,82,1
15,41,1
15,1003,1
15,24,1
15,409,1
15,17,1
15,109,1
15,34,1
15,127,1
15,2,1
15,23,1
15,1622,1
15,19684,1
167,15,1
167,18,1
167,82,1
167,257,1
167,512,1
167,79,1
167,113,1
167,62,1
167,759,1
167,85,1
167,23,1
167,105,3
167,499,1
167,38,2
167,2,1
167,1123,2
167,89,1
41,167,1
41,94,1
41,39,1
41,434,1
41,589,1
41,504,1
41,42,1
41,19789,1
41,399,1
41,66,1
41,11688,1
41,15,1
39,3,1
39,190,3
39,60,2
39,26,1
39,472,1
39,206,2
39,1110,2
39,119,1
39,127,1
39,468,1
39,269,1
39,187,1
39,2531,1
39,2662,1
39,504,1
39,512,1
39,15,1
82,5,1
82,244,1
82,3,1
82,79,2
82,1091,1
82,162,1
82,4795,2
82,4,1
82,184,1
82,1557,1
82,403,1
82,65,3
82,434,1
82,129,1
82,618,1
82,269,1
82,10,1
82,418,1
82,512,1
79,3,1
79,39,1
79,121,1
79,3368,1
79,4,1
79,38,4
79,65,3
79,48,1
79,52,1
79,14,1
79,6163,1
79,321,1
79,409,2
79,40058,1
79,1465,1
79,82,2
42,38,2
42,111,1
42,6890,1
42,247,2
42,105,1
42,475,1
42,65,1
42,1100,1
42,16704,1
42,983,1
27,131,1
27,33,1
27,3187,1
27,583,1
27,2036,1
27,167,1
27,413,1
33,583,1
33,932,1
33,162,1
33,127,1
33,94,1
33,873,1
33,367,1
33,3,1
33,5358,1
533,931,1
533,206,1
533,79,1
533,129,1
533,89,2
533,1023,1
533,167,1
533,679,1
533,35,1
533,33,1
533,1053,1
16,631,2
16,379,1
16,86,1
16,1123,1
16,931,1
16,269,1
16,114,1
16,1110,1
16,24,1
16,129,1
16,403,1
16,371,1
15,11,1
15,162,1
15,254,1
15,35,1
15,9715,1
15,4529,1
23826,31,1
23826,1237,1
23826,409,1
23826,4795,1
23826,3,1
23826,80,1
23826,2643,1
23826,1017,1
23826,473,1
23826,41855,1
23826,65,1
23826,172,1
23826,29,1
79,1075,1
79,41,2
79,10,1
79,16,2
79,336,1
79,11,1
24,7055,1
24,16,1
24,38,1
24,42,2
24,472,1
24,4191,1
24,1557,1
24,6574,1
24,15,1
24,1465,1
24,25467,1
24,21,1
24,327,1
24,52,1
24,3948,1
24,475,1
24,9252,1
24,336,1
24,6711,1
18,180,1
18,1030,1
18,1304,1
18,92,1
18,269,1
44,15,1
44,42,1
44,79,1
44,167,1
44,2446,1
44,94,1
44,29228,1
44,81,1
44,440,1
44,2444,1
44,409,1
86,16,1
86,3,1
86,60,1
86,452,1
86,200,1
86,441,1
86,39722,1
86,2293,1
86,409,1
86,4171,1
86,28760,1
86,4441,1
86,94,1
86,108,1
86,984,1
86,3057,1
167,24,1
167,65,1
167,16,1
167,30,1
167,1096,1
167,3899,1
167,504,1
42,33,1
42,82,1
42,86,1
42,89,2
42,24,1
42,199,1
42,4795,2
42,2,1
42,80,1
42,349,1
42,127,1
42,206,1
42,144,1
39,16,1
39,762,1
39,33,1
39,1533,1
39,3612,1
39,1237,1
39,48,1
39,385,1
60,1003,2
60,35,1
60,187,1
60,51772,1
60,257,1
60,66,1
60,127,1
60,269,2
60,79,1
60,7006,1
60,254,2
60,504,1
60,109,1
60,418,1
82,58,1
82,33,1
82,422,1
82,720,1
82,172,1
82,200,1
82,31,1
38,127,1
38,10,1
38,1245,1
38,12374,1
38,22178,1
38,4441,1
38,52,1
38,17,1
38,108,1
38,83,1
38,94,1
38,44796,1
38,167,1
38,79,1
38,44,1
38,18,1
38,3057,1
4,86,2
4,15,1
4,6429,1
4,60,1
4,82,1
4,79,1
631,13,2
631,985,1
631,989,2
631,506,1
631,1041,1
631,512,1
631,762,2
631,1010,1
631,371,1
631,16,2
631,669,1
631,405,2
631,472,1
631,202,1
631,988,1
631,3008,3
631,6368,1
631,10484,1
631,2288,1
631,2457,1
631,873,2
631,931,1
631,641,1
631,33,1
631,350,1
631,232,1
631,1416,1
148,281,1
148,512,1
148,33,1
148,244,1
148,12,1
148,36,1
148,677,1
148,350,1
148,1132,1
148,405,1
148,714,1
281,1003,1
281,1050,1
281,2288,2
281,1110,1
281,368,2
281,141,2
281,12,1
281,589,1
281,379,2
281,1108,1
281,276,1
281,159,1
281,631,1
281,6890,1
281,614,1
281,29,1
281,12321,6
281,132,4
281,601,1
281,660,2
281,1123,1
281,677,1
281,371,2
281,641,1
281,801,1
281,16214,1
31,131,1
31,873,1
31,82,1
31,398,1
31,3008,1
31,22,1
31,984,1
31,58,1
31,43,1
31,1088,3
31,603,1
31,355,1
31,931,2
11,31,1
11,985,1
11,29,1
11,631,1
11,1049,2
11,506,1
11,984,1
11,618,1
11,415,1
11,899,1
11,475,1
11,337,1
11,897,1
11,3709,1
11,150,1
985,11,1
985,681,1
985,1049,1
985,1061,1
985,405,3
985,29,1
985,350,1
985,861,1
985,873,1
985,399,1
29,985,1
29,631,1
29,131,1
29,1010,1
29,1132,1
29,984,2
29,23826,1
29,289,3
29,11177,1
29,1306,1
29,2381,1
29,703,1
29,1042,1
29,399,1
29,368,1
29,641,2
29,58,2
29,683,1
29,281,1
180,31,1
180,984,1
180,29,1
180,40812,2
180,276,1
180,972,2
180,349,1
180,148,1
180,931,1
180,1123,1
180,337,1
180,2282,1
180,991,2
180,417,1
989,1219,1
989,11177,1
989,289,2
989,2760,1
989,1181,1
989,972,2
989,349,1
989,1198,1
989,1031,1
989,543,2
989,415,2
989,703,2
989,1088,1
989,405,2
989,2413,1
984,337,1
984,86,1
984,512,1
984,3057,1
984,289,1
984,698,1
984,7,1
984,31,1
379,2288,1
379,273,1
379,533,1
379,641,3
379,33304,1
379,7055,1
379,141,1
379,2793,1
379,2503,1
379,18,2
379,355,3
379,2262,1
379,405,1
379,281,1
379,18075,1
379,114,1
1003,631,1
1003,22,2
1003,79,1
1003,60,1
1003,417,1
1003,349,1
1003,762,1
1003,2410,1
1003,1071,1
1003,1237,1
1003,2288,1
1003,16795,1
512,379,1
512,762,1
512,347,1
512,1132,2
512,405,1
512,1010,1
512,1074,1
512,415,1
512,991,1
512,2455,1
512,1108,1
512,12321,1
512,631,1
512,720,1
873,244,1
873,6699,2
873,352,2
873,3008,1
873,3884,1
873,349,1
873,1060,1
873,358,2
873,289,1
873,6321,1
873,2793,1
873,631,2
873,985,1
2288,29,1
2288,148,1
2288,1132,1
2288,3008,1
2288,141,1
2288,1032,1
2288,855,1
2288,19771,1
2288,3820,1
2288,1072,1
2288,132,1
2288,1191,1
2288,368,1
2288,150,1
2288,1302,1
2288,2999,1
2288,1084,1
2288,641,1
2288,1071,1
2288,349,1
2288,3709,1
2288,1003,1
2288,631,1
1132,29,1
1132,1010,1
1132,703,1
1132,38,1
1132,239,1
1132,1044,1
1132,1035,1
1132,2793,1
1132,2413,1
1132,2454,2
1132,1211,1
1132,3054,1
1132,1027,1
1132,1302,1
1132,11177,3
1132,148,1
1010,58,1
1010,234,1
1010,3057,2
1010,897,2
1010,1029,1
1010,1060,1
1010,703,3
1010,7769,1
1010,801,1
1010,1109,1
1010,4561,1
1010,1084,1
1010,410,6
1010,1244,1
1010,36628,1
1010,826,1
1010,5358,1
1010,1096,1
1010,667,1
1010,5432,1
1010,289,2
1010,6195,1
1010,5,1
1010,29,2
762,244,1
762,1123,1
762,610,1
762,703,3
762,452,1
762,399,1
762,1237,2
762,317,1
762,1467,1
762,355,2
762,2964,1
762,164,2
762,1042,2
762,1071,1
762,370,1
762,58,1
762,2381,1
762,931,2
762,2553,2
762,4171,1
762,4529,1
762,276,1
762,347,1
762,1003,1
762,631,2
1237,1219,1
1237,337,1
1237,1071,4
1237,3688,1
1237,2413,1
1237,289,1
1237,687,2
1237,820,1
1237,1078,1
1237,1039,2
1237,124,3
1237,1194,2
1237,931,1
1237,468,1
1237,1003,1
1237,9250,1
1237,762,1
1237,6321,1
1110,1132,1
1110,11177,2
1110,3694,1
1110,2413,2
1110,1020,1
1110,144,1
1110,164,1
1110,988,1
1110,2963,1
1110,641,2
1110,703,2
1110,9250,1
1110,4795,2
281,418,1
281,180,1
281,79,1
281,1041,1
281,1132,1
281,202,1
281,447,1
281,8054,1
281,1403,1
281,399,1
281,897,1
281,3535,1
281,25580,1
985,610,1
985,3182,1
985,984,1
985,2964,1
985,931,1
985,601,1
985,1085,1
985,370,1
148,18916,1
148,2288,1
148,1035,1
148,162,1
31,989,2
31,1003,1
31,1390,1
31,44,1
31,114,1
31,506,1
31,1421,1
31,124,1
31,903,1
31,180,1
31,350,1
631,418,1
631,29,1
631,5,1
631,1049,1
631,800,1
631,1244,1
631,416,1
631,995,1
631,499,2
631,2414,1
631,162,1
631,1032,2
631,36,1
631,862,1
631,399,2
631,1421,1
631,1035,1
631,330,1
631,698,1
11,379,2
11,1091,1
11,42,1
11,1050,1
11,2262,1
11,1032,1
11,358,1
11,6195,1
11,931,1
11,8970,1
1132,512,1
1132,124,1
1132,1039,1
1132,6954,1
1132,677,1
29,86,1
29,1050,1
29,10948,1
29,141,1
29,430,1
29,150,1
29,2262,1
29,2440,1
29,350,1
29,234,1
29,677,1
29,512,2
29,603,1
29,681,1
29,988,1
29,2410,1
29,1071,1
29,405,1
29,504,1
1003,281,1
1003,18544,1
1003,1050,1
1003,36,1
1003,899,1
1003,1110,1
1003,984,1
1003,2727,1
1003,2381,1
1003,2964,1
1003,162,1
1003,4035,1
1003,677,1
1003,371,1
1003,703,1
1003,15,1
762,681,1
762,720,1
762,667,1
762,1072,1
762,826,1
762,1035,2
762,20,1
762,984,3
762,697,1
762,16,1
762,197,1
873,16696,1
873,27774,1
873,5432,1
873,7047,1
873,132,1
873,511,1
873,1110,1
873,126,1
873,2481,1
873,157,1
873,2288,1
873,294,1
989,512,1
989,991,1
989,2805,1
989,337,1
989,124,1
989,603,1
989,3008,1
989,903,1
989,9636,1
989,3884,1
989,31,1
379,873,1
379,3008,1
379,1010,1
379,167,1
379,1078,1
379,3684,1
379,703,1
379,1084,1
379,430,1
379,2844,1
379,358,1
379,46,1
1010,18544,1
1010,189,1
1010,3277,1
1010,38,1
1010,868,1
1010,4634,1
1010,370,1
1010,988,1
1010,2553,1
1010,3709,1
1010,8590,1
1010,294,1
1010,131,1
1237,1032,1
1237,350,2
1237,1083,1
1237,1028,1
1237,3716,1
1237,29831,1
1237,127,1
1237,1123,1
1237,1030,1
1237,698,1
1237,38,1
1237,862,1
1237,29095,1
1237,3948,1
1237,4561,1
1237,790,1
1110,512,1
1110,7,1
1110,2455,1
1110,1045,1
1110,1027,2
1110,631,1
1110,990,1
1110,3054,1
1110,22,1
1110,677,1
1110,39,1
1110,162,1
180,1038,1
180,610,1
180,46,1
180,1082,1
180,124,1
180,641,1
180,1244,1
180,234,1
180,164,1
180,940,2
180,1032,1
180,2963,1
180,1434,1
543,512,3
543,399,1
543,1123,1
543,683,1
543,1162,1
543,2262,1
543,324,1
543,1060,2
543,475,2
543,202,1
543,2964,1
543,677,1
543,2553,1
543,405,1
543,1088,1
543,641,1
543,49734,4
543,1035,1
543,988,1
543,899,1
543,472,1
543,1557,1
543,11245,1
543,30,1
543,990,1
543,1020,1
543,1191,1
543,703,1
543,4529,1
543,13,2
543,162,1
543,1050,1
543,720,1
543,1114,1
543,989,1
603,1071,1
603,3537,1
603,1027,1
603,1219,1
603,2578,1
603,337,2
603,991,1
603,2262,1
603,1072,1
603,350,1
603,1020,1
603,989,1
931,1237,1
931,3455,1
931,379,1
931,29095,1
931,984,1
931,677,1
931,1082,1
931,19789,1
931,349,2
931,11,1
931,985,1
