source,target,num_players,total_amount,total_adjusted_amount,"num_young_players, num_middle_aged_players, num_old_players"
398,5,6,0.7803,1.209673319481570094368453286,0,1,5
148,1020,10,0.2286,0.4380138508723957084043215672,2,4,4
312,660,5,0.07376,0.1720045568466621098200045568,1,4,0
6994,18303,2,0,0,0,1,1
1390,5,3,0,0,1,0,2
660,339,10,0.2405,0.3541933072064065058674293291,3,7,0
630,4064,1,0,0,0,0,1
1020,512,10,0.08466,0.1033782028182924039586973518,7,2,1
3990,265,4,0,0,4,0,0
3216,2944,4,0,0,2,0,2
1435,8817,1,0,0,1,0,0
19771,6630,4,0,0,0,2,2
152,4574,4,0,0,3,1,0
1274,2861,1,0,0,0,1,0
235,202,4,0,0,2,2,0
265,37276,1,0,0,1,0,0
3691,156,2,0,0,0,2,0
1910,204,4,0,0,3,1,0
3558,1420,2,0,0,0,2,0
4128,3719,2,0,0,1,0,1
12466,10483,1,0,0,1,0,0
410,4541,3,0.00171,0.001595744680851063829787234043,1,1,1
826,1159,3,0,0,0,1,2
4159,1429,2,0,0,2,0,0
1701,2420,2,0,0,2,0,0
750,20,1,0.0205,0.02200515242593387720051524259,1,0,0
398,32130,1,0,0,1,0,0
447,24,1,0,0,1,0,0
3345,1075,6,0.0008,0.001631986944104447164422684619,4,1,1
114,11675,1,0,0,1,0,0
7179,2457,3,0,0,2,1,0
1072,1123,2,0.0439,0.09168755221386800334168755221,2,0,0
607,252,3,0.0342,0.02222222222222222222222222222,3,0,0
3391,3396,2,0,0,1,1,0
2503,294,6,0.0308,0.06686272859277341694900986974,3,3,0
16239,3785,1,0,0,0,1,0
10483,1518,1,0,0,1,0,0
715,964,1,0.00513,0.009782608695652173913043478261,1,0,0
5,4102,2,0.00342,0.002857142857142857142857142857,1,0,1
3,132,1,0,0,0,0,1
999,25,3,0.00382,0.005058966512404939014493212616,2,1,0
164,337,5,0.11829,0.2746982314045132381295369411,3,0,2
13240,621,1,0,0,1,0,0
3544,697,1,0,0,1,0,0
12,6574,7,0.2223,0.1356922712185870080606922712,6,1,0
6500,964,1,0.0228,0.05263157894736842105263157895,1,0,0
681,932,2,0,0,0,2,0
10468,12517,1,0,0,1,0,0
1091,610,1,0,0,1,0,0
114,141,7,0.00684,0.007894736842105263157894736842,2,3,2
62307,503,1,0,0,0,1,0
27568,800,1,0,0,1,0,0
