source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
8519,3345,1,0,0,1,0,0,0,0,0,0,0,0
2282,1096,6,0.00912,0.007301587,5,0,1,0.00912,0,0,0.007301587,0,0
6994,6414,8,0,0,3,5,0,0,0,0,0,0,0
130,653,1,0,0,1,0,0,0,0,0,0,0,0
9197,126,7,0,0,7,0,0,0,0,0,0,0,0
244,53,1,0,0,1,0,0,0,0,0,0,0,0
3060,441,8,0,0,4,1,3,0,0,0,0,0,0
5219,35273,1,0,0,1,0,0,0,0,0,0,0,0
798,21615,1,0,0,0,0,1,0,0,0,0,0,0
3345,7211,1,0,0,0,1,0,0,0,0,0,0,0
749,1387,3,0,0,3,0,0,0,0,0,0,0,0
4599,169,2,0,0,2,0,0,0,0,0,0,0,0
605,2259,1,0,0,0,1,0,0,0,0,0,0,0
1467,524,2,0,0,0,2,0,0,0,0,0,0,0
985,1003,6,0.0246,0.051378446,6,0,0,0.0246,0,0,0.051378446,0,0
964,10482,1,0,0,0,0,1,0,0,0,0,0,0
5,8322,1,0,0,1,0,0,0,0,0,0,0,0
599,6087,6,0,0,5,1,0,0,0,0,0,0,0
8835,932,3,0,0,2,1,0,0,0,0,0,0,0
1184,2282,2,0.0798,0.113385757,2,0,0,0.0798,0,0,0.113385757,0,0
681,1108,3,0,0,0,3,0,0,0,0,0,0,0
1387,416,11,0.04782,0.077866626,4,6,1,0.0148,0.03302,0,0.012853917,0.065012709,0
1090,172,1,0,0,0,0,1,0,0,0,0,0,0
13726,57692,1,0,0,0,0,1,0,0,0,0,0,0
1075,1085,12,0,0,8,3,1,0,0,0,0,0,0
5380,410,1,0,0,1,0,0,0,0,0,0,0,0
814,6377,43,0,0,35,6,2,0,0,0,0,0,0
868,3216,5,0,0,3,1,1,0,0,0,0,0,0
621,1531,4,0,0,3,1,0,0,0,0,0,0,0
2156,2457,1,0,0,0,0,1,0,0,0,0,0,0
931,1032,6,0.0388,0.085806622,1,3,2,0.0217,0.0171,0,0.050092336,0.035714286,0
3911,1411,3,0,0,1,2,0,0,0,0,0,0,0
169,2156,4,0,0,1,2,1,0,0,0,0,0,0
368,3368,6,0,0,1,4,1,0,0,0,0,0,0
365,941,3,0,0,0,2,1,0,0,0,0,0,0
410,398,16,0.7057,0.890262351,3,11,2,0.0057,0.5438,0.1562,0.011904762,0.654819577,0.223538012
221,237,1,0,0,1,0,0,0,0,0,0,0,0
5268,3691,4,0.00228,0.004651163,1,1,2,0,0,0.00228,0,0,0.004651163
3508,3738,1,0,0,1,0,0,0,0,0,0,0,0
72,195,1,0.00285,0.005434783,0,0,1,0,0,0.00285,0,0,0.005434783
2420,3345,2,0,0,0,2,0,0,0,0,0,0,0
126,48913,1,0,0,1,0,0,0,0,0,0,0,0
39,24,2,0.01824,0.036567278,1,0,1,0.00114,0,0.0171,0.002380952,0,0.034186325
16704,12048,1,0,0,1,0,0,0,0,0,0,0,0
10481,1897,1,0,0,0,1,0,0,0,0,0,0,0
2,3,6,0.0912,0.10127606,4,1,1,0.0912,0,0,0.10127606,0,0
11755,12438,2,0,0,2,0,0,0,0,0,0,0,0
1450,1091,1,0,0,0,1,0,0,0,0,0,0,0
855,3426,1,0,0,0,1,0,0,0,0,0,0,0
1025,4159,3,0,0,3,0,0,0,0,0,0,0,0
1035,631,5,0,0,4,1,0,0,0,0,0,0,0
833,2293,9,0,0,3,4,2,0,0,0,0,0,0
12,366,1,0,0,1,0,0,0,0,0,0,0,0
10825,1162,1,0,0,1,0,0,0,0,0,0,0,0
4255,46,2,0,0,2,0,0,0,0,0,0,0,0
408,410,16,0,0,14,2,0,0,0,0,0,0,0
366,1050,9,0.0627,0.127906977,3,4,2,0,0.0627,0,0,0.127906977,0
1897,715,5,0,0,3,1,1,0,0,0,0,0,0
337,984,10,0.1329,0.285174659,4,5,1,0.0257,0.1072,0,0.059325946,0.225848713,0
19744,2227,2,0,0,1,1,0,0,0,0,0,0,0
868,1506,13,0.01083,0.022619048,6,5,2,0.01083,0,0,0.022619048,0,0
37782,6676,17,0,0,17,0,0,0,0,0,0,0,0
317,10693,1,0,0,1,0,0,0,0,0,0,0,0
172,601,6,0,0,4,2,0,0,0,0,0,0,0
7185,3060,4,0,0,0,3,1,0,0,0,0,0,0
2721,506,4,0,0,4,0,0,0,0,0,0,0,0
338,3687,1,0,0,0,1,0,0,0,0,0,0,0
3691,11127,6,0,0,2,4,0,0,0,0,0,0,0
2424,11449,1,0,0,0,1,0,0,0,0,0,0,0
826,244,6,0.057,0.11627907,2,3,1,0,0,0.057,0,0,0.11627907
2580,1050,1,0.0114,0.023809524,1,0,0,0.0114,0,0,0.023809524,0,0
234,968,3,0,0,3,0,0,0,0,0,0,0,0
856,409,4,0,0,4,0,0,0,0,0,0,0,0
449,2029,1,0,0,1,0,0,0,0,0,0,0,0
2464,8024,1,0,0,1,0,0,0,0,0,0,0,0
327,27525,2,0,0,1,1,0,0,0,0,0,0,0
60,2,3,0.00057,0.001298701,2,0,1,0.00057,0,0,0.001298701,0,0
3993,1837,1,0,0,1,0,0,0,0,0,0,0,0
1123,641,6,0.01186,0.010300504,6,0,0,0.01186,0,0,0.010300504,0,0
1242,11194,3,0,0,1,1,1,0,0,0,0,0,0
2503,1701,1,0,0,1,0,0,0,0,0,0,0,0
46,8970,4,0.0114,0.007407407,3,1,0,0,0.0114,0,0,0.007407407,0
5220,683,15,0.00673,0.005845058,13,2,0,0.00171,0.00502,0,0.001485149,0.00435991,0
