source,target,weight
281,1132,1
1085,985,1
720,1003,1
232,631,1
1110,990,1
1132,2454,1
60,1003,2
23826,31,1
1045,1110,1
1042,762,1
603,989,1
1010,131,1
1455,603,1
4171,762,1
903,989,1
687,1237,2
1049,1237,1
1237,698,1
2288,148,1
132,281,2
2964,985,1
10093,1010,1
1072,603,1
989,703,1
2288,931,1
415,989,1
180,1082,1
985,984,1
697,762,1
447,281,1
180,40812,1
2963,180,1
931,985,1
1010,294,1
762,984,3
371,180,1
2457,631,1
1237,1083,1
1038,11,1
180,1038,1
1088,31,1
417,931,2
677,1132,1
1020,603,1
1132,11177,2
543,1114,1
358,1110,1
603,2578,1
39,1110,1
698,631,1
1071,29,1
126,873,1
162,543,2
991,180,1
3684,379,1
2288,762,2
4634,1010,1
405,985,1
984,29,1
162,1003,2
1010,29,1
985,610,1
13,543,3
29,2440,1
10484,631,1
683,29,1
9614,1010,1
698,931,1
543,2964,1
1110,39,1
141,281,1
714,1010,1
49734,543,2
1032,180,1
1237,1032,1
281,2288,1
720,985,1
3368,989,1
1434,180,1
159,281,1
543,1050,1
281,79,1
989,543,1
1110,703,1
276,762,1
39,1237,1
22,1132,1
281,418,1
1003,281,1
873,294,1
660,281,1
543,1060,2
1420,543,1
720,543,1
51663,762,1
1078,379,1
543,13,2
873,5432,1
1032,631,2
3054,1110,1
16,11,1
873,27774,1
543,475,2
1003,18544,1
18,379,1
1010,3277,1
1191,543,1
349,931,1
1071,1237,3
1027,1110,1
677,29,1
244,931,1
6321,873,1
11,1091,1
1032,603,1
399,631,2
1078,543,1
543,989,1
1110,22,1
897,11,1
1010,410,5
603,1027,1
11,379,2
873,132,1
897,762,1
989,991,1
197,762,1
2381,762,1
350,1237,1
603,1071,1
350,989,1
31,1088,2
972,989,1
988,1010,1
16,631,2
114,931,2
289,1010,1
499,631,1
162,1110,2
543,202,1
1244,989,1
1110,1027,2
30,543,1
543,512,3
762,197,1
405,989,1
15,11,1
897,1237,1
7411,1237,1
131,29,3
3709,11,1
631,162,1
1247,543,1
1035,631,1
58,31,1
1060,543,1
641,1110,1
985,3182,1
1035,762,2
762,681,1
984,1003,2
1088,543,1
991,603,1
601,281,1
11,8970,1
33,873,1
762,164,1
1269,281,1
762,631,1
1035,148,1
2288,379,1
762,720,1
1237,1123,1
511,873,1
415,379,1
873,16696,1
475,543,1
2964,1003,1
641,543,2
512,1132,1
2262,603,1
762,931,1
405,543,1
466,603,1
31,506,1
7047,873,1
337,603,1
370,985,1
1049,985,1
698,603,1
931,3455,1
1003,899,1
762,1072,1
543,399,1
873,2288,1
1219,603,1
1194,1237,1
12,31,1
1010,868,1
1096,1010,1
603,337,2
1110,4795,1
33,631,1
1110,2455,1
25580,281,2
677,1003,1
16214,281,1
903,31,1
31,1003,1
202,1110,1
621,631,1
379,3008,1
281,1041,1
543,162,1
2288,873,2
350,31,1
899,543,1
124,180,1
3709,873,1
1020,543,1
1010,189,1
603,3537,1
6356,1237,1
1148,989,1
660,985,1
1237,124,2
199,379,1
31,931,1
703,379,1
2262,543,1
631,2414,1
29,10948,1
703,543,1
1084,1010,2
281,180,1
2262,11,1
984,1010,1
762,667,1
6368,1010,1
931,349,2
370,1010,1
988,29,1
512,543,1
12321,281,1
23826,29,1
543,720,1
931,11,1
405,29,1
162,31,1
2282,180,1
29,150,1
405,631,1
1030,1237,1
631,418,1
543,1162,1
1114,543,1
336,543,1
1025,1010,1
873,358,1
1132,124,1
873,631,1
506,11,1
31,1390,1
990,543,1
931,379,1
1049,631,1
1029,1010,1
16,762,1
989,415,1
1123,603,1
164,180,1
350,603,1
58,762,1
543,1035,1
468,1237,1
417,1003,1
1039,1237,1
465,989,1
1158,11,1
1237,127,1
1237,3716,1
3008,631,1
641,29,1
358,11,1
1082,1237,1
430,379,1
762,2553,1
358,379,1
2727,1003,1
29,86,1
512,985,1
641,1132,1
984,762,2
1244,1010,1
988,543,1
543,1123,1
660,29,1
641,180,1
989,512,1
399,281,1
1090,1237,1
39,762,1
29,2262,1
26,180,1
512,1110,1
150,11,1
995,603,1
79,11,1
2410,1003,1
931,1237,1
29,1050,1
667,1010,1
398,379,1
289,1237,1
36,148,1
40812,180,1
16,1110,1
1032,11,1
1003,703,1
2420,379,1
11411,1010,1
16,379,1
512,29,2
58,29,1
3884,989,1
19309,1237,1
989,31,1
1110,162,1
801,281,1
677,931,1
1132,512,1
677,543,1
1003,15,1
1123,1003,1
379,873,1
1010,18544,1
383,631,1
512,31,1
148,18916,1
31,124,1
29831,1237,1
475,11,1
29095,1237,1
11,1050,1
3684,1010,1
2553,1010,1
2553,543,1
1304,543,1
368,29,1
9598,281,1
29095,931,1
1110,631,1
703,762,1
1084,379,1
82,31,1
23826,1237,1
984,931,1
1003,1050,1
180,972,1
131,1010,1
31,989,2
762,826,1
1237,350,2
826,1010,1
790,1237,1
18,180,1
614,281,1
801,1010,1
281,660,1
419,1003,1
3008,989,1
762,16,1
1039,603,1
995,631,1
1237,1028,1
989,2805,1
984,873,1
1010,703,1
4795,1110,1
6195,631,1
1003,1110,1
379,46,1
337,989,1
180,610,1
641,379,1
1110,512,1
379,1010,1
