country,intc_value,total_normalised_amount_within_country,total_in_degree_all_nodes_in_country
Germany,0.4089477222198579,306.1387559999997,748.6012009999993
England,0.4455047799862601,1153.453775999999,2589.0940520000095
France,0.45842824698712,349.9796199999999,763.4338029999991
Italy,0.6191077585679204,956.536813,1545.0247549999995
Spain,0.3091459464497388,374.07321000000013,1210.021397
Portugal,0.1701887453330585,36.528863,214.63736000000003
Belgium,0.3736812360671141,37.75313,101.03030699999997
Russia,0.2867761394295549,122.5666579999999,427.3948949999998
Ukraine,0.15584261340755629,23.498236,150.78183999999996
Netherlands,0.472708596574405,89.13455599999999,188.56131799999977
Turkey,0.2922434955840232,69.89682400000002,239.17324100000002
Austria,0.2585652858338562,8.246048000000002,31.891551
Greece,0.24130336278762643,15.665201000000003,64.919116
Croatia,0.5141951667530932,8.023886000000001,15.604748000000006
Czech Republic,0.6527379163481587,11.60022,17.771634999999986
