country,rita_value,total_normalised_amount_spent_within_country
Germany,0.035340993024954026,306.1387559999997
England,0.13315596621887,1153.453775999999
France,0.040402030343704896,349.9796199999999
Italy,0.11042365650804692,956.536813
Spain,0.043183420740862295,374.07321000000013
Portugal,0.004216931921198839,36.528863
Belgium,0.004358262643492887,37.75313
Russia,0.014149229134092145,122.5666579999999
Ukraine,0.002712662079853504,23.498236
Netherlands,0.010289790691768464,89.13455599999999
Turkey,0.008068965856287868,69.89682400000002
Austria,0.00095193280543492,8.246048000000002
Greece,0.0018084079471319976,15.665201000000003
Croatia,0.0009262861810251381,8.023886000000001
Czech Republic,0.0013391420918556702,11.60022
